logger_no,serial_no,model_type,date_acquired,full scale (m),accuracy (cm),resoultion (mm)
1,2092351,M5,7/1/18,5,0.25,0.0025
2,2092352,M5,7/1/18,5,0.25,0.0025
3,2092161,M5,7/1/18,5,0.25,0.0025
4,2091639,M5,7/1/18,5,0.25,0.0025
5,2092377,M5,7/1/18,5,0.25,0.0025
6,2092350,M5,7/1/18,5,0.25,0.0025
7,2144069,M5,5/28/24,5,0.25,0.0025
8,2196027,M5,6/7/24,5,0.25,0.0025
9,2195841,M5,6/7/24,5,0.25,0.0025
10,2195853,M5,6/7/24,5,0.25,0.0025
11,2196025,M5,6/7/24,5,0.25,0.0025
12,2195852,M5,6/7/24,5,0.25,0.0025
13,2168244,M10,5/28/24,10,0.5,0.005
14,2124644,M10,5/28/24,10,0.5,0.005
15,2141933,M10,5/28/24,10,0.5,0.005
16,2133614,M10,5/28/24,10,0.5,0.005
17,02-2212698,M5,6/24/25,5,,
18,02-2212694,M5,6/24/25,5,,
19,02-2212691,M5,6/24/25,5,,
20,02-2212692,M5,6/24/25,5,,
21,02-2212693,M5,6/24/25,5,,
22,02-2212690,M5,6/24/25,5,,
Baro,2091337,F5/M1.5,7/1/18,,,
