1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 37000000817A8841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Thu Jun 19 13:43:01 PDT 2025
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Jun 29 02:43:01 PDT 2025
Total Mission Samples:  5470
Total Device Samples:  12455
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
7/26/25, 4:03:01 AM,C,0.581
7/26/25, 4:13:01 AM,C,0.581
7/26/25, 4:23:01 AM,C,0.079
7/26/25, 4:33:01 AM,C,0.079
7/26/25, 4:43:01 AM,C,0.079
7/26/25, 4:53:01 AM,C,-0.424
7/26/25, 5:03:01 AM,C,0.079
7/26/25, 5:13:01 AM,C,-0.424
7/26/25, 5:23:01 AM,C,-0.424
7/26/25, 5:33:01 AM,C,0.079
7/26/25, 5:43:01 AM,C,-0.424
7/26/25, 5:53:01 AM,C,-0.424
7/26/25, 6:03:01 AM,C,-0.424
7/26/25, 6:13:01 AM,C,-0.424
7/26/25, 6:23:01 AM,C,0.079
7/26/25, 6:33:01 AM,C,0.581
7/26/25, 6:43:01 AM,C,2.59
7/26/25, 6:53:01 AM,C,4.599
7/26/25, 7:03:01 AM,C,7.109
7/26/25, 7:13:01 AM,C,9.617
7/26/25, 7:23:01 AM,C,11.623
7/26/25, 7:33:01 AM,C,12.626
7/26/25, 7:43:01 AM,C,14.63
7/26/25, 7:53:01 AM,C,17.135
7/26/25, 8:03:01 AM,C,18.136
7/26/25, 8:13:01 AM,C,19.137
7/26/25, 8:23:01 AM,C,19.137
7/26/25, 8:33:01 AM,C,20.138
7/26/25, 8:43:01 AM,C,20.639
7/26/25, 8:53:01 AM,C,21.64
7/26/25, 9:03:01 AM,C,24.141
7/26/25, 9:13:01 AM,C,23.641
7/26/25, 9:23:01 AM,C,23.641
7/26/25, 9:33:01 AM,C,25.141
7/26/25, 9:43:01 AM,C,25.641
7/26/25, 9:53:01 AM,C,25.641
7/26/25, 10:03:01 AM,C,25.641
7/26/25, 10:13:01 AM,C,28.14
7/26/25, 10:23:01 AM,C,27.14
7/26/25, 10:33:01 AM,C,26.14
7/26/25, 10:43:01 AM,C,26.14
7/26/25, 10:53:01 AM,C,25.641
7/26/25, 11:03:01 AM,C,27.64
7/26/25, 11:13:01 AM,C,25.141
7/26/25, 11:23:01 AM,C,26.64
7/26/25, 11:33:01 AM,C,26.14
7/26/25, 11:43:01 AM,C,25.641
7/26/25, 11:53:01 AM,C,25.641
7/26/25, 12:03:01 PM,C,22.14
7/26/25, 12:13:01 PM,C,19.638
7/26/25, 12:23:01 PM,C,18.136
7/26/25, 12:33:01 PM,C,18.637
7/26/25, 12:43:01 PM,C,19.137
7/26/25, 12:53:01 PM,C,18.637
7/26/25, 1:03:01 PM,C,18.136
7/26/25, 1:13:01 PM,C,17.135
7/26/25, 1:23:01 PM,C,17.135
7/26/25, 1:33:01 PM,C,18.136
7/26/25, 1:43:01 PM,C,18.136
7/26/25, 1:53:01 PM,C,16.634
7/26/25, 2:03:01 PM,C,15.131
7/26/25, 2:13:01 PM,C,14.63
7/26/25, 2:23:01 PM,C,15.131
7/26/25, 2:33:01 PM,C,14.63
7/26/25, 2:43:01 PM,C,14.63
7/26/25, 2:53:01 PM,C,15.131
7/26/25, 3:03:01 PM,C,15.632
7/26/25, 3:13:01 PM,C,14.63
7/26/25, 3:23:01 PM,C,13.127
7/26/25, 3:33:01 PM,C,13.628
7/26/25, 3:43:01 PM,C,15.131
7/26/25, 3:53:01 PM,C,15.632
7/26/25, 4:03:01 PM,C,14.129
7/26/25, 4:13:01 PM,C,14.63
7/26/25, 4:23:01 PM,C,15.131
7/26/25, 4:33:01 PM,C,16.634
7/26/25, 4:43:01 PM,C,18.136
7/26/25, 4:53:01 PM,C,18.136
7/26/25, 5:03:01 PM,C,17.135
7/26/25, 5:13:01 PM,C,17.635
7/26/25, 5:23:01 PM,C,16.634
7/26/25, 5:33:01 PM,C,17.135
7/26/25, 5:43:01 PM,C,18.136
7/26/25, 5:53:01 PM,C,18.637
7/26/25, 6:03:01 PM,C,18.136
7/26/25, 6:13:01 PM,C,16.634
7/26/25, 6:23:01 PM,C,16.133
7/26/25, 6:33:01 PM,C,15.632
7/26/25, 6:43:01 PM,C,15.131
7/26/25, 6:53:01 PM,C,14.63
7/26/25, 7:03:01 PM,C,14.129
7/26/25, 7:13:01 PM,C,13.127
7/26/25, 7:23:01 PM,C,12.626
7/26/25, 7:33:01 PM,C,12.626
7/26/25, 7:43:01 PM,C,12.124
7/26/25, 7:53:01 PM,C,10.62
7/26/25, 8:03:01 PM,C,9.617
7/26/25, 8:13:01 PM,C,8.614
7/26/25, 8:23:01 PM,C,8.112
7/26/25, 8:33:01 PM,C,7.109
7/26/25, 8:43:01 PM,C,6.607
7/26/25, 8:53:01 PM,C,6.105
7/26/25, 9:03:01 PM,C,5.603
7/26/25, 9:13:01 PM,C,5.603
7/26/25, 9:23:01 PM,C,5.101
7/26/25, 9:33:01 PM,C,4.599
7/26/25, 9:43:01 PM,C,4.599
7/26/25, 9:53:01 PM,C,4.097
7/26/25, 10:03:01 PM,C,4.097
7/26/25, 10:13:01 PM,C,4.097
7/26/25, 10:23:01 PM,C,3.595
7/26/25, 10:33:01 PM,C,3.093
7/26/25, 10:43:01 PM,C,3.093
7/26/25, 10:53:01 PM,C,2.59
7/26/25, 11:03:01 PM,C,2.59
7/26/25, 11:13:01 PM,C,2.59
7/26/25, 11:23:01 PM,C,2.088
7/26/25, 11:33:01 PM,C,1.586
7/26/25, 11:43:01 PM,C,2.088
7/26/25, 11:53:01 PM,C,1.083
7/27/25, 12:03:01 AM,C,1.586
7/27/25, 12:13:01 AM,C,1.083
7/27/25, 12:23:01 AM,C,1.083
7/27/25, 12:33:01 AM,C,1.083
7/27/25, 12:43:01 AM,C,1.083
7/27/25, 12:53:01 AM,C,1.083
7/27/25, 1:03:01 AM,C,1.083
7/27/25, 1:13:01 AM,C,0.581
7/27/25, 1:23:01 AM,C,0.581
7/27/25, 1:33:01 AM,C,0.581
7/27/25, 1:43:01 AM,C,0.581
7/27/25, 1:53:01 AM,C,0.581
7/27/25, 2:03:01 AM,C,0.079
7/27/25, 2:13:01 AM,C,0.079
7/27/25, 2:23:01 AM,C,0.079
7/27/25, 2:33:01 AM,C,0.079
7/27/25, 2:43:01 AM,C,0.079
7/27/25, 2:53:01 AM,C,0.079
7/27/25, 3:03:01 AM,C,-0.424
7/27/25, 3:13:01 AM,C,-0.424
7/27/25, 3:23:01 AM,C,-0.424
7/27/25, 3:33:01 AM,C,-0.424
7/27/25, 3:43:01 AM,C,-0.927
7/27/25, 3:53:01 AM,C,-0.424
7/27/25, 4:03:01 AM,C,-0.424
7/27/25, 4:13:01 AM,C,-0.927
7/27/25, 4:23:01 AM,C,-0.927
7/27/25, 4:33:01 AM,C,-0.927
7/27/25, 4:43:01 AM,C,-0.927
7/27/25, 4:53:01 AM,C,-0.424
7/27/25, 5:03:01 AM,C,-0.927
7/27/25, 5:13:01 AM,C,-0.927
7/27/25, 5:23:01 AM,C,-0.927
7/27/25, 5:33:01 AM,C,-0.927
7/27/25, 5:43:01 AM,C,-0.927
7/27/25, 5:53:01 AM,C,-0.424
7/27/25, 6:03:01 AM,C,-0.927
7/27/25, 6:13:01 AM,C,-0.424
7/27/25, 6:23:01 AM,C,-0.424
7/27/25, 6:33:01 AM,C,0.079
7/27/25, 6:43:01 AM,C,2.088
7/27/25, 6:53:01 AM,C,4.599
7/27/25, 7:03:01 AM,C,7.109
7/27/25, 7:13:01 AM,C,9.116
7/27/25, 7:23:01 AM,C,12.124
7/27/25, 7:33:01 AM,C,14.129
7/27/25, 7:43:01 AM,C,16.133
7/27/25, 7:53:01 AM,C,17.135
7/27/25, 8:03:01 AM,C,18.637
7/27/25, 8:13:01 AM,C,19.638
7/27/25, 8:23:01 AM,C,20.138
7/27/25, 8:33:01 AM,C,21.64
7/27/25, 8:43:01 AM,C,22.14
7/27/25, 8:53:01 AM,C,23.14
7/27/25, 9:03:01 AM,C,23.641
7/27/25, 9:13:01 AM,C,25.141
7/27/25, 9:23:01 AM,C,26.14
7/27/25, 9:33:01 AM,C,25.641
7/27/25, 9:43:01 AM,C,25.641
7/27/25, 9:53:01 AM,C,25.641
7/27/25, 10:03:01 AM,C,26.64
7/27/25, 10:13:01 AM,C,27.14
7/27/25, 10:23:01 AM,C,27.14
7/27/25, 10:33:01 AM,C,26.64
7/27/25, 10:43:01 AM,C,26.64
7/27/25, 10:53:01 AM,C,27.14
7/27/25, 11:03:01 AM,C,27.64
7/27/25, 11:13:01 AM,C,27.14
7/27/25, 11:23:01 AM,C,30.138
7/27/25, 11:33:01 AM,C,28.639
7/27/25, 11:43:01 AM,C,28.639
7/27/25, 11:53:01 AM,C,31.137
7/27/25, 12:03:01 PM,C,26.64
7/27/25, 12:13:01 PM,C,28.639
7/27/25, 12:23:01 PM,C,29.139
7/27/25, 12:33:01 PM,C,29.139
7/27/25, 12:43:01 PM,C,28.14
7/27/25, 12:53:01 PM,C,22.14
7/27/25, 1:03:01 PM,C,23.641
7/27/25, 1:13:01 PM,C,21.64
