1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: F500000081709741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Mon Oct 20 15:12:01 PDT 2025
Mission Sample Count:  2189
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Mon Oct 20 15:12:01 PDT 2025
Total Mission Samples:  2189
Total Device Samples:  27099
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/21/25, 12:32:01 PM,C,25.568
10/21/25, 12:42:01 PM,C,25.068
10/21/25, 12:52:01 PM,C,25.068
10/21/25, 1:02:01 PM,C,24.568
10/21/25, 1:12:01 PM,C,25.068
10/21/25, 1:22:01 PM,C,27.068
10/21/25, 1:32:01 PM,C,25.568
10/21/25, 1:42:01 PM,C,26.068
10/21/25, 1:52:01 PM,C,26.068
10/21/25, 2:02:01 PM,C,26.068
10/21/25, 2:12:01 PM,C,25.568
10/21/25, 2:22:01 PM,C,26.068
10/21/25, 2:32:01 PM,C,25.568
10/21/25, 2:42:01 PM,C,26.068
10/21/25, 2:52:01 PM,C,25.568
10/21/25, 3:02:01 PM,C,24.568
10/21/25, 3:12:01 PM,C,25.068
10/21/25, 3:22:01 PM,C,25.068
10/21/25, 3:32:01 PM,C,25.068
10/21/25, 3:42:01 PM,C,23.568
10/21/25, 3:52:01 PM,C,23.568
10/21/25, 4:02:01 PM,C,23.568
10/21/25, 4:12:01 PM,C,23.568
10/21/25, 4:22:01 PM,C,20.066
10/21/25, 4:32:01 PM,C,18.065
10/21/25, 4:42:01 PM,C,19.566
10/21/25, 4:52:01 PM,C,19.066
10/21/25, 5:02:01 PM,C,16.062
10/21/25, 5:12:01 PM,C,12.055
10/21/25, 5:22:01 PM,C,10.051
10/21/25, 5:32:01 PM,C,8.548
10/21/25, 5:42:01 PM,C,7.545
10/21/25, 5:52:01 PM,C,6.542
10/21/25, 6:02:01 PM,C,5.539
10/21/25, 6:12:01 PM,C,5.539
10/21/25, 6:22:01 PM,C,4.536
10/21/25, 6:32:01 PM,C,4.536
10/21/25, 6:42:01 PM,C,4.035
10/21/25, 6:52:01 PM,C,3.533
10/21/25, 7:02:01 PM,C,3.031
10/21/25, 7:12:01 PM,C,2.53
10/21/25, 7:22:01 PM,C,2.53
10/21/25, 7:32:01 PM,C,2.028
10/21/25, 7:42:01 PM,C,1.526
10/21/25, 7:52:01 PM,C,1.526
10/21/25, 8:02:01 PM,C,1.024
10/21/25, 8:12:01 PM,C,1.024
10/21/25, 8:22:01 PM,C,0.523
10/21/25, 8:32:01 PM,C,0.523
10/21/25, 8:42:01 PM,C,0.523
10/21/25, 8:52:01 PM,C,0.523
10/21/25, 9:02:01 PM,C,0.021
10/21/25, 9:12:01 PM,C,0.021
10/21/25, 9:22:01 PM,C,0.021
10/21/25, 9:32:01 PM,C,0.021
10/21/25, 9:42:01 PM,C,0.021
10/21/25, 9:52:01 PM,C,-0.481
10/21/25, 10:02:01 PM,C,0.021
10/21/25, 10:12:01 PM,C,-0.481
10/21/25, 10:22:01 PM,C,-0.481
10/21/25, 10:32:01 PM,C,-0.481
10/21/25, 10:42:01 PM,C,-0.481
10/21/25, 10:52:01 PM,C,-0.983
10/21/25, 11:02:01 PM,C,-0.983
10/21/25, 11:12:01 PM,C,-0.983
10/21/25, 11:22:01 PM,C,-1.485
10/21/25, 11:32:01 PM,C,-1.485
10/21/25, 11:42:01 PM,C,-1.485
10/21/25, 11:52:01 PM,C,-0.983
10/22/25, 12:02:01 AM,C,-0.983
10/22/25, 12:12:01 AM,C,-1.485
10/22/25, 12:22:01 AM,C,-1.485
10/22/25, 12:32:01 AM,C,-1.987
10/22/25, 12:42:01 AM,C,-1.987
10/22/25, 12:52:01 AM,C,-1.485
10/22/25, 1:02:01 AM,C,-1.485
