1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: CA00000081779541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Sun Jul 27 17:07:01 PDT 2025
Mission Sample Count:  3843
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sun Jul 27 17:07:01 PDT 2025
Total Mission Samples:  3843
Total Device Samples:  16686
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
7/27/25, 5:07:01 PM,%RH,36.037
7/27/25, 5:17:01 PM,%RH,38.761
7/27/25, 5:27:01 PM,%RH,41.324
7/27/25, 5:37:01 PM,%RH,40.092
7/27/25, 5:47:01 PM,%RH,37.425
7/27/25, 5:57:01 PM,%RH,40.684
7/27/25, 6:07:01 PM,%RH,41.964
7/27/25, 6:17:01 PM,%RH,42.649
7/27/25, 6:27:01 PM,%RH,40.043
7/27/25, 6:37:01 PM,%RH,42.649
7/27/25, 6:47:01 PM,%RH,45.966
7/27/25, 6:57:01 PM,%RH,47.873
7/27/25, 7:07:01 PM,%RH,51.861
7/27/25, 7:17:01 PM,%RH,57.745
7/27/25, 7:27:01 PM,%RH,57.03
7/27/25, 7:37:01 PM,%RH,61.576
7/27/25, 7:47:01 PM,%RH,66.577
7/27/25, 7:57:01 PM,%RH,71.364
7/27/25, 8:07:01 PM,%RH,76.144
7/27/25, 8:17:01 PM,%RH,80.766
7/27/25, 8:27:01 PM,%RH,82.978
7/27/25, 8:37:01 PM,%RH,86.977
7/27/25, 8:47:01 PM,%RH,89.776
7/27/25, 8:57:01 PM,%RH,89.206
7/27/25, 9:07:01 PM,%RH,90.345
7/27/25, 9:17:01 PM,%RH,93.047
7/27/25, 9:27:01 PM,%RH,91.921
7/27/25, 9:37:01 PM,%RH,93.551
7/27/25, 9:47:01 PM,%RH,95.727
7/27/25, 9:57:01 PM,%RH,96.281
7/27/25, 10:07:01 PM,%RH,96.281
7/27/25, 10:17:01 PM,%RH,96.834
7/27/25, 10:27:01 PM,%RH,96.783
7/27/25, 10:37:01 PM,%RH,96.23
7/27/25, 10:47:01 PM,%RH,95.675
7/27/25, 10:57:01 PM,%RH,94.512
7/27/25, 11:07:01 PM,%RH,95.626
7/27/25, 11:17:01 PM,%RH,97.747
7/27/25, 11:27:01 PM,%RH,97.705
7/27/25, 11:37:01 PM,%RH,98.804
7/27/25, 11:47:01 PM,%RH,100
7/27/25, 11:57:01 PM,%RH,100
7/28/25, 12:07:01 AM,%RH,100
7/28/25, 12:17:01 AM,%RH,100
7/28/25, 12:27:01 AM,%RH,100
7/28/25, 12:37:01 AM,%RH,100
7/28/25, 12:47:01 AM,%RH,100
7/28/25, 12:57:01 AM,%RH,100
7/28/25, 1:07:01 AM,%RH,100
7/28/25, 1:17:01 AM,%RH,100
7/28/25, 1:27:01 AM,%RH,100
7/28/25, 1:37:01 AM,%RH,100
7/28/25, 1:47:01 AM,%RH,100
7/28/25, 1:57:01 AM,%RH,100
7/28/25, 2:07:01 AM,%RH,100
7/28/25, 2:17:01 AM,%RH,100
7/28/25, 2:27:01 AM,%RH,100
7/28/25, 2:37:01 AM,%RH,100
7/28/25, 2:47:01 AM,%RH,100
7/28/25, 2:57:01 AM,%RH,100
7/28/25, 3:07:01 AM,%RH,100
7/28/25, 3:17:01 AM,%RH,100
7/28/25, 3:27:01 AM,%RH,100
7/28/25, 3:37:01 AM,%RH,100
7/28/25, 3:47:01 AM,%RH,100
7/28/25, 3:57:01 AM,%RH,100
7/28/25, 4:07:01 AM,%RH,100
7/28/25, 4:17:01 AM,%RH,100
7/28/25, 4:27:01 AM,%RH,100
7/28/25, 4:37:01 AM,%RH,100
7/28/25, 4:47:01 AM,%RH,100
7/28/25, 4:57:01 AM,%RH,100
7/28/25, 5:07:01 AM,%RH,100
7/28/25, 5:17:01 AM,%RH,100
7/28/25, 5:27:01 AM,%RH,100
7/28/25, 5:37:01 AM,%RH,100
7/28/25, 5:47:01 AM,%RH,100
7/28/25, 5:57:01 AM,%RH,100
7/28/25, 6:07:01 AM,%RH,100
7/28/25, 6:17:01 AM,%RH,100
7/28/25, 6:27:01 AM,%RH,100
7/28/25, 6:37:01 AM,%RH,100
7/28/25, 6:47:01 AM,%RH,100
7/28/25, 6:57:01 AM,%RH,100
7/28/25, 7:07:01 AM,%RH,100
7/28/25, 7:17:01 AM,%RH,100
7/28/25, 7:27:01 AM,%RH,100
7/28/25, 7:37:01 AM,%RH,100
7/28/25, 7:47:01 AM,%RH,100
7/28/25, 7:57:01 AM,%RH,100
7/28/25, 8:07:01 AM,%RH,100
7/28/25, 8:17:01 AM,%RH,100
7/28/25, 8:27:01 AM,%RH,100
7/28/25, 8:37:01 AM,%RH,86.536
7/28/25, 8:47:01 AM,%RH,71.522
7/28/25, 8:57:01 AM,%RH,62.894
7/28/25, 9:07:01 AM,%RH,53.265
7/28/25, 9:17:01 AM,%RH,44.106
7/28/25, 9:27:01 AM,%RH,40.141
7/28/25, 9:37:01 AM,%RH,29.812
7/28/25, 9:47:01 AM,%RH,29.261
7/28/25, 9:57:01 AM,%RH,27.945
7/28/25, 10:07:01 AM,%RH,20.856
7/28/25, 10:17:01 AM,%RH,20.075
7/28/25, 10:27:01 AM,%RH,23.751
7/28/25, 10:37:01 AM,%RH,23.029
7/28/25, 10:47:01 AM,%RH,25.962
7/28/25, 10:57:01 AM,%RH,25.855
7/28/25, 11:07:01 AM,%RH,23.805
7/28/25, 11:17:01 AM,%RH,27.503
7/28/25, 11:27:01 AM,%RH,24.525
7/28/25, 11:37:01 AM,%RH,24.633
7/28/25, 11:47:01 AM,%RH,26.788
7/28/25, 11:57:01 AM,%RH,26.571
7/28/25, 12:07:01 PM,%RH,25.245
7/28/25, 12:17:01 PM,%RH,23.406
7/28/25, 12:27:01 PM,%RH,20.714
7/28/25, 12:37:01 PM,%RH,22.467
7/28/25, 12:47:01 PM,%RH,21.176
7/28/25, 12:57:01 PM,%RH,20.501
7/28/25, 1:07:01 PM,%RH,20.341
7/28/25, 1:17:01 PM,%RH,23.244
7/28/25, 1:27:01 PM,%RH,23.406
7/28/25, 1:37:01 PM,%RH,19.25
7/28/25, 1:47:01 PM,%RH,22.333
7/28/25, 1:57:01 PM,%RH,18.464
7/28/25, 2:07:01 PM,%RH,19.93
7/28/25, 2:17:01 PM,%RH,17.781
7/28/25, 2:27:01 PM,%RH,22.064
7/28/25, 2:37:01 PM,%RH,15.619
7/28/25, 2:47:01 PM,%RH,17.833
7/28/25, 2:57:01 PM,%RH,20.554
7/28/25, 3:07:01 PM,%RH,18.307
7/28/25, 3:17:01 PM,%RH,16.256
7/28/25, 3:27:01 PM,%RH,17.781
7/28/25, 3:37:01 PM,%RH,16.89
7/28/25, 3:47:01 PM,%RH,16.942
7/28/25, 3:57:01 PM,%RH,17.678
7/28/25, 4:07:01 PM,%RH,18.202
7/28/25, 4:17:01 PM,%RH,20.856
7/28/25, 4:27:01 PM,%RH,22.655
7/28/25, 4:37:01 PM,%RH,26.86
7/28/25, 4:47:01 PM,%RH,29.656
7/28/25, 4:57:01 PM,%RH,31.02
7/28/25, 5:07:01 PM,%RH,31.02
7/28/25, 5:17:01 PM,%RH,33.084
7/28/25, 5:27:01 PM,%RH,32.38
7/28/25, 5:37:01 PM,%RH,31.227
7/28/25, 5:47:01 PM,%RH,26.86
7/28/25, 5:57:01 PM,%RH,30.868
7/28/25, 6:07:01 PM,%RH,29.502
7/28/25, 6:17:01 PM,%RH,31.575
7/28/25, 6:27:01 PM,%RH,29.451
7/28/25, 6:37:01 PM,%RH,32.837
7/28/25, 6:47:01 PM,%RH,31.426
7/28/25, 6:57:01 PM,%RH,35.548
7/28/25, 7:07:01 PM,%RH,35.502
7/28/25, 7:17:01 PM,%RH,36.155
7/28/25, 7:27:01 PM,%RH,38.201
7/28/25, 7:37:01 PM,%RH,37.462
7/28/25, 7:47:01 PM,%RH,42.875
7/28/25, 7:57:01 PM,%RH,46.258
7/28/25, 8:07:01 PM,%RH,46.905
7/28/25, 8:17:01 PM,%RH,53.106
7/28/25, 8:27:01 PM,%RH,58.05
7/28/25, 8:37:01 PM,%RH,64.175
7/28/25, 8:47:01 PM,%RH,68.466
7/28/25, 8:57:01 PM,%RH,72.627
7/28/25, 9:07:01 PM,%RH,74.384
7/28/25, 9:17:01 PM,%RH,73.172
7/28/25, 9:27:01 PM,%RH,70.117
7/28/25, 9:37:01 PM,%RH,75.471
7/28/25, 9:47:01 PM,%RH,74.263
7/28/25, 9:57:01 PM,%RH,78.949
7/28/25, 10:07:01 PM,%RH,77.812
7/28/25, 10:17:01 PM,%RH,76.56
7/28/25, 10:27:01 PM,%RH,78.949
7/28/25, 10:37:01 PM,%RH,82.392
7/28/25, 10:47:01 PM,%RH,81.265
7/28/25, 10:57:01 PM,%RH,84.146
7/28/25, 11:07:01 PM,%RH,83.515
7/28/25, 11:17:01 PM,%RH,86.377
7/28/25, 11:27:01 PM,%RH,89.821
7/28/25, 11:37:01 PM,%RH,84.682
7/28/25, 11:47:01 PM,%RH,85.263
7/28/25, 11:57:01 PM,%RH,89.21
7/29/25, 12:07:01 AM,%RH,89.781
7/29/25, 12:17:01 AM,%RH,92.014
7/29/25, 12:27:01 AM,%RH,93.107
7/29/25, 12:37:01 AM,%RH,93.638
7/29/25, 12:47:01 AM,%RH,93.638
7/29/25, 12:57:01 AM,%RH,94.789
7/29/25, 1:07:01 AM,%RH,94.23
7/29/25, 1:17:01 AM,%RH,95.873
7/29/25, 1:27:01 AM,%RH,96.983
7/29/25, 1:37:01 AM,%RH,96.429
7/29/25, 1:47:01 AM,%RH,96.983
7/29/25, 1:57:01 AM,%RH,95.82
7/29/25, 2:07:01 AM,%RH,98.037
7/29/25, 2:17:01 AM,%RH,99.116
7/29/25, 2:27:01 AM,%RH,99.665
7/29/25, 2:37:01 AM,%RH,100
7/29/25, 2:47:01 AM,%RH,100
7/29/25, 2:57:01 AM,%RH,100
7/29/25, 3:07:01 AM,%RH,100
7/29/25, 3:17:01 AM,%RH,100
7/29/25, 3:27:01 AM,%RH,100
7/29/25, 3:37:01 AM,%RH,100
7/29/25, 3:47:01 AM,%RH,100
7/29/25, 3:57:01 AM,%RH,100
7/29/25, 4:07:01 AM,%RH,100
7/29/25, 4:17:01 AM,%RH,100
7/29/25, 4:27:01 AM,%RH,100
7/29/25, 4:37:01 AM,%RH,100
7/29/25, 4:47:01 AM,%RH,100
7/29/25, 4:57:01 AM,%RH,100
7/29/25, 5:07:01 AM,%RH,100
7/29/25, 5:17:01 AM,%RH,100
7/29/25, 5:27:01 AM,%RH,100
7/29/25, 5:37:01 AM,%RH,100
7/29/25, 5:47:01 AM,%RH,100
7/29/25, 5:57:01 AM,%RH,100
7/29/25, 6:07:01 AM,%RH,100
7/29/25, 6:17:01 AM,%RH,100
7/29/25, 6:27:01 AM,%RH,100
7/29/25, 6:37:01 AM,%RH,100
7/29/25, 6:47:01 AM,%RH,100
7/29/25, 6:57:01 AM,%RH,100
7/29/25, 7:07:01 AM,%RH,100
7/29/25, 7:17:01 AM,%RH,100
7/29/25, 7:27:01 AM,%RH,100
7/29/25, 7:37:01 AM,%RH,100
7/29/25, 7:47:01 AM,%RH,98.73
7/29/25, 7:57:01 AM,%RH,96.089
7/29/25, 8:07:01 AM,%RH,93.954
7/29/25, 8:17:01 AM,%RH,90.164
7/29/25, 8:27:01 AM,%RH,81.082
7/29/25, 8:37:01 AM,%RH,65.17
7/29/25, 8:47:01 AM,%RH,56.371
7/29/25, 8:57:01 AM,%RH,49.108
7/29/25, 9:07:01 AM,%RH,45.331
7/29/25, 9:17:01 AM,%RH,37.375
7/29/25, 9:27:01 AM,%RH,31.985
7/29/25, 9:37:01 AM,%RH,32.091
7/29/25, 9:47:01 AM,%RH,28.766
7/29/25, 9:57:01 AM,%RH,30.894
7/29/25, 10:07:01 AM,%RH,27.448
7/29/25, 10:17:01 AM,%RH,26.679
7/29/25, 10:27:01 AM,%RH,21.742
7/29/25, 10:37:01 AM,%RH,20.288
7/29/25, 10:47:01 AM,%RH,21.795
7/29/25, 10:57:01 AM,%RH,23.19
7/29/25, 11:07:01 AM,%RH,23.19
7/29/25, 11:17:01 AM,%RH,19.771
7/29/25, 11:27:01 AM,%RH,24.851
7/29/25, 11:37:01 AM,%RH,18.307
7/29/25, 11:47:01 AM,%RH,17.626
7/29/25, 11:57:01 AM,%RH,20.66
7/29/25, 12:07:01 PM,%RH,16.993
7/29/25, 12:17:01 PM,%RH,21.956
7/29/25, 12:27:01 PM,%RH,19.771
7/29/25, 12:37:01 PM,%RH,16.89
7/29/25, 12:47:01 PM,%RH,21.283
7/29/25, 12:57:01 PM,%RH,18.669
7/29/25, 1:07:01 PM,%RH,15.669
7/29/25, 1:17:01 PM,%RH,16.307
7/29/25, 1:27:01 PM,%RH,18.621
7/29/25, 1:37:01 PM,%RH,19.824
7/29/25, 1:47:01 PM,%RH,21.087
7/29/25, 1:57:01 PM,%RH,19.303
7/29/25, 2:07:01 PM,%RH,19.408
7/29/25, 2:17:01 PM,%RH,19.198
7/29/25, 2:27:01 PM,%RH,21.283
7/29/25, 2:37:01 PM,%RH,22.844
7/29/25, 2:47:01 PM,%RH,22.225
7/29/25, 2:57:01 PM,%RH,22.279
7/29/25, 3:07:01 PM,%RH,22.01
7/29/25, 3:17:01 PM,%RH,19.303
7/29/25, 3:27:01 PM,%RH,19.25
7/29/25, 3:37:01 PM,%RH,20.767
7/29/25, 3:47:01 PM,%RH,22.844
7/29/25, 3:57:01 PM,%RH,19.877
7/29/25, 4:07:01 PM,%RH,19.093
7/29/25, 4:17:01 PM,%RH,21.688
7/29/25, 4:27:01 PM,%RH,28.497
7/29/25, 4:37:01 PM,%RH,29.76
7/29/25, 4:47:01 PM,%RH,31.829
7/29/25, 4:57:01 PM,%RH,32.482
7/29/25, 5:07:01 PM,%RH,34.587
7/29/25, 5:17:01 PM,%RH,36.581
7/29/25, 5:27:01 PM,%RH,36.581
7/29/25, 5:37:01 PM,%RH,33.938
7/29/25, 5:47:01 PM,%RH,33.887
7/29/25, 5:57:01 PM,%RH,37.227
7/29/25, 6:07:01 PM,%RH,37.227
7/29/25, 6:17:01 PM,%RH,35.835
7/29/25, 6:27:01 PM,%RH,37.179
7/29/25, 6:37:01 PM,%RH,41.232
7/29/25, 6:47:01 PM,%RH,41.187
7/29/25, 6:57:01 PM,%RH,42.515
7/29/25, 7:07:01 PM,%RH,45.162
7/29/25, 7:17:01 PM,%RH,47.834
7/29/25, 7:27:01 PM,%RH,48.471
7/29/25, 7:37:01 PM,%RH,52.457
7/29/25, 7:47:01 PM,%RH,55.712
7/29/25, 7:57:01 PM,%RH,62.201
7/29/25, 8:07:01 PM,%RH,65.953
7/29/25, 8:17:01 PM,%RH,67.664
7/29/25, 8:27:01 PM,%RH,73.726
7/29/25, 8:37:01 PM,%RH,72.509
7/29/25, 8:47:01 PM,%RH,76.596
7/29/25, 8:57:01 PM,%RH,78.916
7/29/25, 9:07:01 PM,%RH,81.215
7/29/25, 9:17:01 PM,%RH,82.324
7/29/25, 9:27:01 PM,%RH,82.845
7/29/25, 9:37:01 PM,%RH,85.693
7/29/25, 9:47:01 PM,%RH,87.938
7/29/25, 9:57:01 PM,%RH,87.938
7/29/25, 10:07:01 PM,%RH,87.824
7/29/25, 10:17:01 PM,%RH,87.938
7/29/25, 10:27:01 PM,%RH,88.453
7/29/25, 10:37:01 PM,%RH,88.969
7/29/25, 10:47:01 PM,%RH,87.824
7/29/25, 10:57:01 PM,%RH,90.623
7/29/25, 11:07:01 PM,%RH,90.004
7/29/25, 11:17:01 PM,%RH,88.915
7/29/25, 11:27:01 PM,%RH,90.524
7/29/25, 11:37:01 PM,%RH,92.221
7/29/25, 11:47:01 PM,%RH,92.221
7/29/25, 11:57:01 PM,%RH,92.221
7/30/25, 12:07:01 AM,%RH,92.221
7/30/25, 12:17:01 AM,%RH,90.572
7/30/25, 12:27:01 AM,%RH,92.269
7/30/25, 12:37:01 AM,%RH,90.572
7/30/25, 12:47:01 AM,%RH,91.705
7/30/25, 12:57:01 AM,%RH,92.784
7/30/25, 1:07:01 AM,%RH,93.346
7/30/25, 1:17:01 AM,%RH,91.756
7/30/25, 1:27:01 AM,%RH,89.54
7/30/25, 1:37:01 AM,%RH,90.109
7/30/25, 1:47:01 AM,%RH,88.969
7/30/25, 1:57:01 AM,%RH,89.54
7/30/25, 2:07:01 AM,%RH,89.54
7/30/25, 2:17:01 AM,%RH,89.595
7/30/25, 2:27:01 AM,%RH,89.653
7/30/25, 2:37:01 AM,%RH,87.364
7/30/25, 2:47:01 AM,%RH,86.272
7/30/25, 2:57:01 AM,%RH,82.781
7/30/25, 3:07:01 AM,%RH,83.95
7/30/25, 3:17:01 AM,%RH,82.195
7/30/25, 3:27:01 AM,%RH,85.114
7/30/25, 3:37:01 AM,%RH,85.114
7/30/25, 3:47:01 AM,%RH,86.272
7/30/25, 3:57:01 AM,%RH,86.849
7/30/25, 4:07:01 AM,%RH,87.364
7/30/25, 4:17:01 AM,%RH,87.424
7/30/25, 4:27:01 AM,%RH,87.938
7/30/25, 4:37:01 AM,%RH,87.364
7/30/25, 4:47:01 AM,%RH,88.511
7/30/25, 4:57:01 AM,%RH,89.653
7/30/25, 5:07:01 AM,%RH,89.653
7/30/25, 5:17:01 AM,%RH,88.511
7/30/25, 5:27:01 AM,%RH,89.083
7/30/25, 5:37:01 AM,%RH,89.595
7/30/25, 5:47:01 AM,%RH,90.164
7/30/25, 5:57:01 AM,%RH,90.732
7/30/25, 6:07:01 AM,%RH,90.164
7/30/25, 6:17:01 AM,%RH,90.732
7/30/25, 6:27:01 AM,%RH,91.299
7/30/25, 6:37:01 AM,%RH,89.653
7/30/25, 6:47:01 AM,%RH,88.572
7/30/25, 6:57:01 AM,%RH,86.4
7/30/25, 7:07:01 AM,%RH,85.756
7/30/25, 7:17:01 AM,%RH,87.487
7/30/25, 7:27:01 AM,%RH,86.4
7/30/25, 7:37:01 AM,%RH,84.798
7/30/25, 7:47:01 AM,%RH,80.323
7/30/25, 7:57:01 AM,%RH,77.501
7/30/25, 8:07:01 AM,%RH,73.962
7/30/25, 8:17:01 AM,%RH,63.515
7/30/25, 8:27:01 AM,%RH,60.328
7/30/25, 8:37:01 AM,%RH,53.192
7/30/25, 8:47:01 AM,%RH,42.515
7/30/25, 8:57:01 AM,%RH,32.28
7/30/25, 9:07:01 AM,%RH,27.679
7/30/25, 9:17:01 AM,%RH,23.59
7/30/25, 9:27:01 AM,%RH,24.418
7/30/25, 9:37:01 AM,%RH,21.261
7/30/25, 9:47:01 AM,%RH,22.922
7/30/25, 9:57:01 AM,%RH,17.885
7/30/25, 10:07:01 AM,%RH,18.723
7/30/25, 10:17:01 AM,%RH,20.235
7/30/25, 10:27:01 AM,%RH,18.829
7/30/25, 10:37:01 AM,%RH,17.205
7/30/25, 10:47:01 AM,%RH,20.341
7/30/25, 10:57:01 AM,%RH,17.521
7/30/25, 11:07:01 AM,%RH,20.802
7/30/25, 11:17:01 AM,%RH,16.524
7/30/25, 11:27:01 AM,%RH,16.734
7/30/25, 11:37:01 AM,%RH,18.464
7/30/25, 11:47:01 AM,%RH,18.412
7/30/25, 11:57:01 AM,%RH,15.523
7/30/25, 12:07:01 PM,%RH,20.235
7/30/25, 12:17:01 PM,%RH,21.475
7/30/25, 12:27:01 PM,%RH,18.934
7/30/25, 12:37:01 PM,%RH,20.66
7/30/25, 12:47:01 PM,%RH,16.153
7/30/25, 12:57:01 PM,%RH,16.358
7/30/25, 1:07:01 PM,%RH,15.841
7/30/25, 1:17:01 PM,%RH,18.097
7/30/25, 1:27:01 PM,%RH,16.942
7/30/25, 1:37:01 PM,%RH,14.878
7/30/25, 1:47:01 PM,%RH,14.136
7/30/25, 1:57:01 PM,%RH,15.72
7/30/25, 2:07:01 PM,%RH,13.729
7/30/25, 2:17:01 PM,%RH,15.415
7/30/25, 2:27:01 PM,%RH,18.934
7/30/25, 2:37:01 PM,%RH,17.148
7/30/25, 2:47:01 PM,%RH,16.307
7/30/25, 2:57:01 PM,%RH,16.101
7/30/25, 3:07:01 PM,%RH,18.934
7/30/25, 3:17:01 PM,%RH,18.36
7/30/25, 3:27:01 PM,%RH,15.208
7/30/25, 3:37:01 PM,%RH,19.453
7/30/25, 3:47:01 PM,%RH,24.097
7/30/25, 3:57:01 PM,%RH,28.339
7/30/25, 4:07:01 PM,%RH,19.506
7/30/25, 4:17:01 PM,%RH,20.749
7/30/25, 4:27:01 PM,%RH,28.183
7/30/25, 4:37:01 PM,%RH,26.756
7/30/25, 4:47:01 PM,%RH,28.131
7/30/25, 4:57:01 PM,%RH,29.451
7/30/25, 5:07:01 PM,%RH,24.499
7/30/25, 5:17:01 PM,%RH,26.6
7/30/25, 5:27:01 PM,%RH,29.553
7/30/25, 5:37:01 PM,%RH,30.262
7/30/25, 5:47:01 PM,%RH,25.935
7/30/25, 5:57:01 PM,%RH,35.087
7/30/25, 6:07:01 PM,%RH,33.588
7/30/25, 6:17:01 PM,%RH,32.28
7/30/25, 6:27:01 PM,%RH,32.23
7/30/25, 6:37:01 PM,%RH,33.588
7/30/25, 6:47:01 PM,%RH,32.132
7/30/25, 6:57:01 PM,%RH,31.328
7/30/25, 7:07:01 PM,%RH,39.719
7/30/25, 7:17:01 PM,%RH,40.366
7/30/25, 7:27:01 PM,%RH,46.48
7/30/25, 7:37:01 PM,%RH,43.757
7/30/25, 7:47:01 PM,%RH,44.36
7/30/25, 7:57:01 PM,%RH,47.722
7/30/25, 8:07:01 PM,%RH,52.36
7/30/25, 8:17:01 PM,%RH,57.608
7/30/25, 8:27:01 PM,%RH,61.466
7/30/25, 8:37:01 PM,%RH,64.543
7/30/25, 8:47:01 PM,%RH,66.966
7/30/25, 8:57:01 PM,%RH,69.911
7/30/25, 9:07:01 PM,%RH,72.289
7/30/25, 9:17:01 PM,%RH,72.898
7/30/25, 9:27:01 PM,%RH,76.455
7/30/25, 9:37:01 PM,%RH,80.491
7/30/25, 9:47:01 PM,%RH,81.018
7/30/25, 9:57:01 PM,%RH,83.367
7/30/25, 10:07:01 PM,%RH,84.014
7/30/25, 10:17:01 PM,%RH,82.259
7/30/25, 10:27:01 PM,%RH,78.778
7/30/25, 10:37:01 PM,%RH,79.9
7/30/25, 10:47:01 PM,%RH,82.845
7/30/25, 10:57:01 PM,%RH,79.9
7/30/25, 11:07:01 PM,%RH,82.195
7/30/25, 11:17:01 PM,%RH,83.889
7/30/25, 11:27:01 PM,%RH,87.249
7/30/25, 11:37:01 PM,%RH,89.435
7/30/25, 11:47:01 PM,%RH,88.814
7/30/25, 11:57:01 PM,%RH,91.044
7/31/25, 12:07:01 AM,%RH,91.61
7/31/25, 12:17:01 AM,%RH,92.738
7/31/25, 12:27:01 AM,%RH,91.566
7/31/25, 12:37:01 AM,%RH,93.777
7/31/25, 12:47:01 AM,%RH,93.777
7/31/25, 12:57:01 AM,%RH,94.857
7/31/25, 1:07:01 AM,%RH,95.379
7/31/25, 1:17:01 AM,%RH,97.63
7/31/25, 1:27:01 AM,%RH,98.181
7/31/25, 1:37:01 AM,%RH,98.147
7/31/25, 1:47:01 AM,%RH,98.147
7/31/25, 1:57:01 AM,%RH,99.214
7/31/25, 2:07:01 AM,%RH,98.665
7/31/25, 2:17:01 AM,%RH,99.733
7/31/25, 2:27:01 AM,%RH,100
7/31/25, 2:37:01 AM,%RH,100
7/31/25, 2:47:01 AM,%RH,100
7/31/25, 2:57:01 AM,%RH,100
7/31/25, 3:07:01 AM,%RH,100
7/31/25, 3:17:01 AM,%RH,100
7/31/25, 3:27:01 AM,%RH,100
7/31/25, 3:37:01 AM,%RH,100
7/31/25, 3:47:01 AM,%RH,100
7/31/25, 3:57:01 AM,%RH,100
7/31/25, 4:07:01 AM,%RH,100
7/31/25, 4:17:01 AM,%RH,100
7/31/25, 4:27:01 AM,%RH,100
7/31/25, 4:37:01 AM,%RH,100
7/31/25, 4:47:01 AM,%RH,100
7/31/25, 4:57:01 AM,%RH,100
7/31/25, 5:07:01 AM,%RH,100
7/31/25, 5:17:01 AM,%RH,100
7/31/25, 5:27:01 AM,%RH,100
7/31/25, 5:37:01 AM,%RH,100
7/31/25, 5:47:01 AM,%RH,100
7/31/25, 5:57:01 AM,%RH,100
7/31/25, 6:07:01 AM,%RH,100
7/31/25, 6:17:01 AM,%RH,100
7/31/25, 6:27:01 AM,%RH,100
7/31/25, 6:37:01 AM,%RH,100
7/31/25, 6:47:01 AM,%RH,100
7/31/25, 6:57:01 AM,%RH,100
7/31/25, 7:07:01 AM,%RH,100
7/31/25, 7:17:01 AM,%RH,100
7/31/25, 7:27:01 AM,%RH,100
7/31/25, 7:37:01 AM,%RH,100
7/31/25, 7:47:01 AM,%RH,100
7/31/25, 7:57:01 AM,%RH,100
7/31/25, 8:07:01 AM,%RH,100
7/31/25, 8:17:01 AM,%RH,80.103
7/31/25, 8:27:01 AM,%RH,78.465
7/31/25, 8:37:01 AM,%RH,68.593
7/31/25, 8:47:01 AM,%RH,60.952
7/31/25, 8:57:01 AM,%RH,55.805
7/31/25, 9:07:01 AM,%RH,50.093
7/31/25, 9:17:01 AM,%RH,40.191
7/31/25, 9:27:01 AM,%RH,36.241
7/31/25, 9:37:01 AM,%RH,35.704
7/31/25, 9:47:01 AM,%RH,33.713
7/31/25, 9:57:01 AM,%RH,31.601
7/31/25, 10:07:01 AM,%RH,31.547
7/31/25, 10:17:01 AM,%RH,30.241
7/31/25, 10:27:01 AM,%RH,30.078
7/31/25, 10:37:01 AM,%RH,32.252
7/31/25, 10:47:01 AM,%RH,28.053
7/31/25, 10:57:01 AM,%RH,30.241
7/31/25, 11:07:01 AM,%RH,25.353
7/31/25, 11:17:01 AM,%RH,23.19
7/31/25, 11:27:01 AM,%RH,19.506
7/31/25, 11:37:01 AM,%RH,29.918
7/31/25, 11:47:01 AM,%RH,23.244
7/31/25, 11:57:01 AM,%RH,18.15
7/31/25, 12:07:01 PM,%RH,16.838
7/31/25, 12:17:01 PM,%RH,17.73
7/31/25, 12:27:01 PM,%RH,16.307
7/31/25, 12:37:01 PM,%RH,13.781
7/31/25, 12:47:01 PM,%RH,14.827
7/31/25, 12:57:01 PM,%RH,16.786
7/31/25, 1:07:01 PM,%RH,14.035
7/31/25, 1:17:01 PM,%RH,16.358
7/31/25, 1:27:01 PM,%RH,17.626
7/31/25, 1:37:01 PM,%RH,13.392
7/31/25, 1:47:01 PM,%RH,13.342
7/31/25, 1:57:01 PM,%RH,12.598
7/31/25, 2:07:01 PM,%RH,16.307
7/31/25, 2:17:01 PM,%RH,16.993
7/31/25, 2:27:01 PM,%RH,15.568
7/31/25, 2:37:01 PM,%RH,18.412
7/31/25, 2:47:01 PM,%RH,17.096
7/31/25, 2:57:01 PM,%RH,18.202
7/31/25, 3:07:01 PM,%RH,16.307
7/31/25, 3:17:01 PM,%RH,19.198
7/31/25, 3:27:01 PM,%RH,20.607
7/31/25, 3:37:01 PM,%RH,22.79
7/31/25, 3:47:01 PM,%RH,22.01
7/31/25, 3:57:01 PM,%RH,19.093
7/31/25, 4:07:01 PM,%RH,21.122
7/31/25, 4:17:01 PM,%RH,23.029
7/31/25, 4:27:01 PM,%RH,24.816
7/31/25, 4:37:01 PM,%RH,30.364
7/31/25, 4:47:01 PM,%RH,33.134
7/31/25, 4:57:01 PM,%RH,33.786
7/31/25, 5:07:01 PM,%RH,31.676
7/31/25, 5:17:01 PM,%RH,35.835
7/31/25, 5:27:01 PM,%RH,33.736
