1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 6C000000817CCE41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Fri Aug 22 16:15:01 PDT 2025
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sat Aug 23 04:45:01 PDT 2025
Total Mission Samples:  4171
Total Device Samples:  20133
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
8/23/25, 4:45:01 AM,C,7.584
8/23/25, 4:55:01 AM,C,7.584
8/23/25, 5:05:01 AM,C,7.584
8/23/25, 5:15:01 AM,C,7.083
8/23/25, 5:25:01 AM,C,7.584
8/23/25, 5:35:01 AM,C,7.083
8/23/25, 5:45:01 AM,C,7.083
8/23/25, 5:55:01 AM,C,7.584
8/23/25, 6:05:01 AM,C,7.584
8/23/25, 6:15:01 AM,C,7.083
8/23/25, 6:25:01 AM,C,7.083
8/23/25, 6:35:01 AM,C,7.083
8/23/25, 6:45:01 AM,C,7.584
8/23/25, 6:55:01 AM,C,11.595
8/23/25, 7:05:01 AM,C,13.099
8/23/25, 7:15:01 AM,C,16.605
8/23/25, 7:25:01 AM,C,17.607
8/23/25, 7:35:01 AM,C,16.605
8/23/25, 7:45:01 AM,C,20.61
8/23/25, 7:55:01 AM,C,23.111
8/23/25, 8:05:01 AM,C,24.611
8/23/25, 8:15:01 AM,C,26.111
8/23/25, 8:25:01 AM,C,26.111
8/23/25, 8:35:01 AM,C,26.611
8/23/25, 8:45:01 AM,C,30.109
8/23/25, 8:55:01 AM,C,31.607
8/23/25, 9:05:01 AM,C,28.11
8/23/25, 9:15:01 AM,C,29.609
8/23/25, 9:25:01 AM,C,30.109
8/23/25, 9:35:01 AM,C,26.611
8/23/25, 9:45:01 AM,C,30.109
8/23/25, 9:55:01 AM,C,31.607
8/23/25, 10:05:01 AM,C,32.107
8/23/25, 10:15:01 AM,C,34.104
8/23/25, 10:25:01 AM,C,34.104
8/23/25, 10:35:01 AM,C,34.104
8/23/25, 10:45:01 AM,C,34.603
8/23/25, 10:55:01 AM,C,34.603
8/23/25, 11:05:01 AM,C,35.102
8/23/25, 11:15:01 AM,C,35.601
8/23/25, 11:25:01 AM,C,37.098
8/23/25, 11:35:01 AM,C,36.599
8/23/25, 11:45:01 AM,C,38.096
8/23/25, 11:55:01 AM,C,36.599
8/23/25, 12:05:01 PM,C,38.096
8/23/25, 12:15:01 PM,C,37.597
8/23/25, 12:25:01 PM,C,34.104
8/23/25, 12:35:01 PM,C,37.597
8/23/25, 12:45:01 PM,C,38.096
8/23/25, 12:55:01 PM,C,39.093
8/23/25, 1:05:01 PM,C,38.096
8/23/25, 1:15:01 PM,C,31.108
8/23/25, 1:25:01 PM,C,34.603
8/23/25, 1:35:01 PM,C,39.093
8/23/25, 1:45:01 PM,C,36.1
8/23/25, 1:55:01 PM,C,38.096
8/23/25, 2:05:01 PM,C,36.1
8/23/25, 2:15:01 PM,C,36.1
8/23/25, 2:25:01 PM,C,37.098
8/23/25, 2:35:01 PM,C,33.105
8/23/25, 2:45:01 PM,C,32.107
8/23/25, 2:55:01 PM,C,27.111
8/23/25, 3:05:01 PM,C,24.611
8/23/25, 3:15:01 PM,C,23.611
8/23/25, 3:25:01 PM,C,21.61
8/23/25, 3:35:01 PM,C,20.61
8/23/25, 3:45:01 PM,C,20.61
8/23/25, 3:55:01 PM,C,20.61
8/23/25, 4:05:01 PM,C,24.611
8/23/25, 4:15:01 PM,C,27.111
8/23/25, 4:25:01 PM,C,27.611
8/23/25, 4:35:01 PM,C,24.611
8/23/25, 4:45:01 PM,C,26.611
8/23/25, 4:55:01 PM,C,27.611
8/23/25, 5:05:01 PM,C,27.611
8/23/25, 5:15:01 PM,C,27.611
8/23/25, 5:25:01 PM,C,25.111
8/23/25, 5:35:01 PM,C,23.611
8/23/25, 5:45:01 PM,C,24.111
8/23/25, 5:55:01 PM,C,23.111
8/23/25, 6:05:01 PM,C,23.111
8/23/25, 6:15:01 PM,C,22.111
8/23/25, 6:25:01 PM,C,21.11
8/23/25, 6:35:01 PM,C,21.11
8/23/25, 6:45:01 PM,C,20.61
8/23/25, 6:55:01 PM,C,20.61
8/23/25, 7:05:01 PM,C,20.109
8/23/25, 7:15:01 PM,C,19.609
8/23/25, 7:25:01 PM,C,19.108
8/23/25, 7:35:01 PM,C,18.107
8/23/25, 7:45:01 PM,C,17.607
8/23/25, 7:55:01 PM,C,17.106
8/23/25, 8:05:01 PM,C,16.104
8/23/25, 8:15:01 PM,C,15.604
8/23/25, 8:25:01 PM,C,15.103
8/23/25, 8:35:01 PM,C,15.103
8/23/25, 8:45:01 PM,C,14.602
8/23/25, 8:55:01 PM,C,14.602
8/23/25, 9:05:01 PM,C,14.602
8/23/25, 9:15:01 PM,C,14.101
8/23/25, 9:25:01 PM,C,14.101
8/23/25, 9:35:01 PM,C,14.101
8/23/25, 9:45:01 PM,C,14.602
8/23/25, 9:55:01 PM,C,14.101
8/23/25, 10:05:01 PM,C,14.101
8/23/25, 10:15:01 PM,C,14.101
8/23/25, 10:25:01 PM,C,13.6
8/23/25, 10:35:01 PM,C,13.099
8/23/25, 10:45:01 PM,C,13.099
8/23/25, 10:55:01 PM,C,12.598
8/23/25, 11:05:01 PM,C,12.598
8/23/25, 11:15:01 PM,C,12.598
8/23/25, 11:25:01 PM,C,12.598
8/23/25, 11:35:01 PM,C,12.598
8/23/25, 11:45:01 PM,C,12.598
8/23/25, 11:55:01 PM,C,12.097
8/24/25, 12:05:01 AM,C,11.595
8/24/25, 12:15:01 AM,C,11.595
8/24/25, 12:25:01 AM,C,11.094
8/24/25, 12:35:01 AM,C,10.593
8/24/25, 12:45:01 AM,C,10.593
8/24/25, 12:55:01 AM,C,10.092
8/24/25, 1:05:01 AM,C,10.593
8/24/25, 1:15:01 AM,C,10.593
8/24/25, 1:25:01 AM,C,10.593
8/24/25, 1:35:01 AM,C,10.593
8/24/25, 1:45:01 AM,C,10.593
8/24/25, 1:55:01 AM,C,10.593
8/24/25, 2:05:01 AM,C,10.092
8/24/25, 2:15:01 AM,C,10.092
8/24/25, 2:25:01 AM,C,10.092
8/24/25, 2:35:01 AM,C,10.092
8/24/25, 2:45:01 AM,C,10.092
8/24/25, 2:55:01 AM,C,10.593
8/24/25, 3:05:01 AM,C,10.593
8/24/25, 3:15:01 AM,C,10.593
8/24/25, 3:25:01 AM,C,10.593
8/24/25, 3:35:01 AM,C,10.593
8/24/25, 3:45:01 AM,C,10.593
8/24/25, 3:55:01 AM,C,10.092
8/24/25, 4:05:01 AM,C,10.092
8/24/25, 4:15:01 AM,C,9.59
8/24/25, 4:25:01 AM,C,9.59
8/24/25, 4:35:01 AM,C,9.59
8/24/25, 4:45:01 AM,C,9.59
8/24/25, 4:55:01 AM,C,9.59
8/24/25, 5:05:01 AM,C,9.089
8/24/25, 5:15:01 AM,C,9.089
8/24/25, 5:25:01 AM,C,9.089
8/24/25, 5:35:01 AM,C,8.587
8/24/25, 5:45:01 AM,C,8.587
8/24/25, 5:55:01 AM,C,8.086
8/24/25, 6:05:01 AM,C,8.086
8/24/25, 6:15:01 AM,C,8.086
8/24/25, 6:25:01 AM,C,8.086
8/24/25, 6:35:01 AM,C,8.587
8/24/25, 6:45:01 AM,C,8.086
8/24/25, 6:55:01 AM,C,9.089
8/24/25, 7:05:01 AM,C,10.593
8/24/25, 7:15:01 AM,C,10.593
8/24/25, 7:25:01 AM,C,10.593
8/24/25, 7:35:01 AM,C,11.595
8/24/25, 7:45:01 AM,C,13.6
8/24/25, 7:55:01 AM,C,15.103
8/24/25, 8:05:01 AM,C,18.107
8/24/25, 8:15:01 AM,C,21.61
8/24/25, 8:25:01 AM,C,23.611
8/24/25, 8:35:01 AM,C,22.111
8/24/25, 8:45:01 AM,C,22.611
8/24/25, 8:55:01 AM,C,23.611
8/24/25, 9:05:01 AM,C,25.111
8/24/25, 9:15:01 AM,C,22.611
8/24/25, 9:25:01 AM,C,22.611
8/24/25, 9:35:01 AM,C,21.61
8/24/25, 9:45:01 AM,C,22.611
8/24/25, 9:55:01 AM,C,24.611
8/24/25, 10:05:01 AM,C,29.609
8/24/25, 10:15:01 AM,C,31.108
8/24/25, 10:25:01 AM,C,33.105
8/24/25, 10:35:01 AM,C,33.105
8/24/25, 10:45:01 AM,C,34.104
8/24/25, 10:55:01 AM,C,29.609
8/24/25, 11:05:01 AM,C,24.611
8/24/25, 11:15:01 AM,C,25.111
8/24/25, 11:25:01 AM,C,23.611
8/24/25, 11:35:01 AM,C,24.111
8/24/25, 11:45:01 AM,C,25.111
8/24/25, 11:55:01 AM,C,24.611
8/24/25, 12:05:01 PM,C,25.111
8/24/25, 12:15:01 PM,C,26.611
8/24/25, 12:25:01 PM,C,26.611
8/24/25, 12:35:01 PM,C,27.611
8/24/25, 12:45:01 PM,C,27.611
8/24/25, 12:55:01 PM,C,28.61
8/24/25, 1:05:01 PM,C,28.61
8/24/25, 1:15:01 PM,C,31.108
8/24/25, 1:25:01 PM,C,31.108
8/24/25, 1:35:01 PM,C,31.607
8/24/25, 1:45:01 PM,C,32.606
8/24/25, 1:55:01 PM,C,30.608
8/24/25, 2:05:01 PM,C,30.109
8/24/25, 2:15:01 PM,C,30.608
8/24/25, 2:25:01 PM,C,28.61
8/24/25, 2:35:01 PM,C,27.111
8/24/25, 2:45:01 PM,C,26.611
8/24/25, 2:55:01 PM,C,25.611
8/24/25, 3:05:01 PM,C,23.111
8/24/25, 3:15:01 PM,C,20.109
8/24/25, 3:25:01 PM,C,17.607
8/24/25, 3:35:01 PM,C,16.605
8/24/25, 3:45:01 PM,C,15.604
8/24/25, 3:55:01 PM,C,15.604
8/24/25, 4:05:01 PM,C,15.604
8/24/25, 4:15:01 PM,C,15.103
8/24/25, 4:25:01 PM,C,15.103
8/24/25, 4:35:01 PM,C,15.103
8/24/25, 4:45:01 PM,C,15.103
8/24/25, 4:55:01 PM,C,14.602
8/24/25, 5:05:01 PM,C,14.602
8/24/25, 5:15:01 PM,C,14.101
8/24/25, 5:25:01 PM,C,14.101
8/24/25, 5:35:01 PM,C,14.101
8/24/25, 5:45:01 PM,C,14.101
8/24/25, 5:55:01 PM,C,14.101
8/24/25, 6:05:01 PM,C,14.101
8/24/25, 6:15:01 PM,C,14.101
8/24/25, 6:25:01 PM,C,13.6
8/24/25, 6:35:01 PM,C,14.101
8/24/25, 6:45:01 PM,C,15.103
8/24/25, 6:55:01 PM,C,14.602
8/24/25, 7:05:01 PM,C,14.602
8/24/25, 7:15:01 PM,C,15.103
8/24/25, 7:25:01 PM,C,15.604
8/24/25, 7:35:01 PM,C,15.103
8/24/25, 7:45:01 PM,C,14.602
8/24/25, 7:55:01 PM,C,13.6
8/24/25, 8:05:01 PM,C,13.099
8/24/25, 8:15:01 PM,C,12.598
8/24/25, 8:25:01 PM,C,12.097
8/24/25, 8:35:01 PM,C,11.595
8/24/25, 8:45:01 PM,C,11.094
8/24/25, 8:55:01 PM,C,11.094
8/24/25, 9:05:01 PM,C,11.094
8/24/25, 9:15:01 PM,C,10.593
8/24/25, 9:25:01 PM,C,10.593
8/24/25, 9:35:01 PM,C,10.092
8/24/25, 9:45:01 PM,C,10.092
8/24/25, 9:55:01 PM,C,10.092
8/24/25, 10:05:01 PM,C,10.092
8/24/25, 10:15:01 PM,C,9.59
8/24/25, 10:25:01 PM,C,9.59
8/24/25, 10:35:01 PM,C,9.089
8/24/25, 10:45:01 PM,C,9.089
8/24/25, 10:55:01 PM,C,8.587
8/24/25, 11:05:01 PM,C,8.587
8/24/25, 11:15:01 PM,C,8.086
8/24/25, 11:25:01 PM,C,8.086
8/24/25, 11:35:01 PM,C,8.086
8/24/25, 11:45:01 PM,C,8.587
8/24/25, 11:55:01 PM,C,8.086
8/25/25, 12:05:01 AM,C,7.584
8/25/25, 12:15:01 AM,C,7.584
8/25/25, 12:25:01 AM,C,7.584
8/25/25, 12:35:01 AM,C,7.584
8/25/25, 12:45:01 AM,C,7.083
8/25/25, 12:55:01 AM,C,7.083
8/25/25, 1:05:01 AM,C,7.083
8/25/25, 1:15:01 AM,C,6.581
8/25/25, 1:25:01 AM,C,6.581
8/25/25, 1:35:01 AM,C,6.08
8/25/25, 1:45:01 AM,C,6.08
8/25/25, 1:55:01 AM,C,6.08
8/25/25, 2:05:01 AM,C,6.08
8/25/25, 2:15:01 AM,C,5.578
8/25/25, 2:25:01 AM,C,5.578
8/25/25, 2:35:01 AM,C,5.578
8/25/25, 2:45:01 AM,C,5.578
8/25/25, 2:55:01 AM,C,5.578
8/25/25, 3:05:01 AM,C,5.076
8/25/25, 3:15:01 AM,C,5.578
8/25/25, 3:25:01 AM,C,5.578
8/25/25, 3:35:01 AM,C,4.574
8/25/25, 3:45:01 AM,C,5.076
8/25/25, 3:55:01 AM,C,5.076
8/25/25, 4:05:01 AM,C,4.574
8/25/25, 4:15:01 AM,C,4.574
8/25/25, 4:25:01 AM,C,4.574
8/25/25, 4:35:01 AM,C,4.574
8/25/25, 4:45:01 AM,C,4.072
8/25/25, 4:55:01 AM,C,4.574
8/25/25, 5:05:01 AM,C,4.072
8/25/25, 5:15:01 AM,C,4.072
8/25/25, 5:25:01 AM,C,4.072
8/25/25, 5:35:01 AM,C,4.072
8/25/25, 5:45:01 AM,C,4.072
8/25/25, 5:55:01 AM,C,4.072
8/25/25, 6:05:01 AM,C,4.072
8/25/25, 6:15:01 AM,C,4.072
8/25/25, 6:25:01 AM,C,4.072
8/25/25, 6:35:01 AM,C,3.57
8/25/25, 6:45:01 AM,C,5.076
8/25/25, 6:55:01 AM,C,6.581
8/25/25, 7:05:01 AM,C,8.086
8/25/25, 7:15:01 AM,C,9.59
8/25/25, 7:25:01 AM,C,10.593
8/25/25, 7:35:01 AM,C,11.094
8/25/25, 7:45:01 AM,C,12.598
8/25/25, 7:55:01 AM,C,14.602
8/25/25, 8:05:01 AM,C,17.607
8/25/25, 8:15:01 AM,C,19.108
8/25/25, 8:25:01 AM,C,20.61
8/25/25, 8:35:01 AM,C,21.11
8/25/25, 8:45:01 AM,C,22.111
8/25/25, 8:55:01 AM,C,22.611
8/25/25, 9:05:01 AM,C,23.111
8/25/25, 9:15:01 AM,C,23.611
8/25/25, 9:25:01 AM,C,23.611
8/25/25, 9:35:01 AM,C,24.611
8/25/25, 9:45:01 AM,C,25.611
8/25/25, 9:55:01 AM,C,25.611
8/25/25, 10:05:01 AM,C,26.611
8/25/25, 10:15:01 AM,C,27.111
8/25/25, 10:25:01 AM,C,27.611
8/25/25, 10:35:01 AM,C,28.11
8/25/25, 10:45:01 AM,C,27.611
8/25/25, 10:55:01 AM,C,28.11
8/25/25, 11:05:01 AM,C,28.11
8/25/25, 11:15:01 AM,C,29.609
8/25/25, 11:25:01 AM,C,25.611
8/25/25, 11:35:01 AM,C,28.11
8/25/25, 11:45:01 AM,C,27.111
8/25/25, 11:55:01 AM,C,23.611
8/25/25, 12:05:01 PM,C,25.611
8/25/25, 12:15:01 PM,C,24.611
8/25/25, 12:25:01 PM,C,22.611
8/25/25, 12:35:01 PM,C,20.61
8/25/25, 12:45:01 PM,C,19.108
8/25/25, 12:55:01 PM,C,18.608
8/25/25, 1:05:01 PM,C,18.107
8/25/25, 1:15:01 PM,C,16.605
8/25/25, 1:25:01 PM,C,15.103
8/25/25, 1:35:01 PM,C,14.602
8/25/25, 1:45:01 PM,C,12.598
8/25/25, 1:55:01 PM,C,12.097
8/25/25, 2:05:01 PM,C,12.097
8/25/25, 2:15:01 PM,C,11.595
8/25/25, 2:25:01 PM,C,11.094
8/25/25, 2:35:01 PM,C,11.094
8/25/25, 2:45:01 PM,C,11.595
8/25/25, 2:55:01 PM,C,11.595
8/25/25, 3:05:01 PM,C,11.094
8/25/25, 3:15:01 PM,C,11.094
8/25/25, 3:25:01 PM,C,11.094
8/25/25, 3:35:01 PM,C,11.094
8/25/25, 3:45:01 PM,C,10.593
8/25/25, 3:55:01 PM,C,11.094
8/25/25, 4:05:01 PM,C,11.595
8/25/25, 4:15:01 PM,C,11.595
8/25/25, 4:25:01 PM,C,11.595
8/25/25, 4:35:01 PM,C,11.595
8/25/25, 4:45:01 PM,C,12.097
8/25/25, 4:55:01 PM,C,12.097
8/25/25, 5:05:01 PM,C,12.598
8/25/25, 5:15:01 PM,C,12.598
8/25/25, 5:25:01 PM,C,13.099
8/25/25, 5:35:01 PM,C,13.6
8/25/25, 5:45:01 PM,C,13.099
8/25/25, 5:55:01 PM,C,13.099
8/25/25, 6:05:01 PM,C,12.598
8/25/25, 6:15:01 PM,C,12.598
8/25/25, 6:25:01 PM,C,12.598
8/25/25, 6:35:01 PM,C,12.598
8/25/25, 6:45:01 PM,C,12.097
8/25/25, 6:55:01 PM,C,12.097
8/25/25, 7:05:01 PM,C,12.097
8/25/25, 7:15:01 PM,C,11.595
8/25/25, 7:25:01 PM,C,11.595
8/25/25, 7:35:01 PM,C,11.595
8/25/25, 7:45:01 PM,C,11.595
8/25/25, 7:55:01 PM,C,11.094
8/25/25, 8:05:01 PM,C,11.094
8/25/25, 8:15:01 PM,C,10.593
8/25/25, 8:25:01 PM,C,10.593
8/25/25, 8:35:01 PM,C,10.593
8/25/25, 8:45:01 PM,C,10.092
8/25/25, 8:55:01 PM,C,10.092
8/25/25, 9:05:01 PM,C,9.59
8/25/25, 9:15:01 PM,C,9.59
8/25/25, 9:25:01 PM,C,9.59
8/25/25, 9:35:01 PM,C,9.59
8/25/25, 9:45:01 PM,C,9.089
8/25/25, 9:55:01 PM,C,9.089
8/25/25, 10:05:01 PM,C,8.587
8/25/25, 10:15:01 PM,C,8.587
8/25/25, 10:25:01 PM,C,8.587
8/25/25, 10:35:01 PM,C,8.587
8/25/25, 10:45:01 PM,C,8.086
8/25/25, 10:55:01 PM,C,8.587
8/25/25, 11:05:01 PM,C,8.086
8/25/25, 11:15:01 PM,C,8.587
8/25/25, 11:25:01 PM,C,8.587
8/25/25, 11:35:01 PM,C,8.086
8/25/25, 11:45:01 PM,C,8.086
8/25/25, 11:55:01 PM,C,7.584
8/26/25, 12:05:01 AM,C,7.584
8/26/25, 12:15:01 AM,C,7.083
8/26/25, 12:25:01 AM,C,6.581
8/26/25, 12:35:01 AM,C,6.581
8/26/25, 12:45:01 AM,C,6.581
8/26/25, 12:55:01 AM,C,6.581
8/26/25, 1:05:01 AM,C,7.083
8/26/25, 1:15:01 AM,C,7.584
8/26/25, 1:25:01 AM,C,7.584
8/26/25, 1:35:01 AM,C,7.584
8/26/25, 1:45:01 AM,C,7.584
8/26/25, 1:55:01 AM,C,7.584
8/26/25, 2:05:01 AM,C,8.086
8/26/25, 2:15:01 AM,C,8.086
8/26/25, 2:25:01 AM,C,8.086
8/26/25, 2:35:01 AM,C,7.584
8/26/25, 2:45:01 AM,C,7.584
8/26/25, 2:55:01 AM,C,7.083
8/26/25, 3:05:01 AM,C,7.083
8/26/25, 3:15:01 AM,C,7.083
8/26/25, 3:25:01 AM,C,6.581
8/26/25, 3:35:01 AM,C,6.581
8/26/25, 3:45:01 AM,C,6.08
8/26/25, 3:55:01 AM,C,6.581
8/26/25, 4:05:01 AM,C,6.08
8/26/25, 4:15:01 AM,C,6.08
8/26/25, 4:25:01 AM,C,5.578
8/26/25, 4:35:01 AM,C,5.578
8/26/25, 4:45:01 AM,C,5.578
8/26/25, 4:55:01 AM,C,5.578
8/26/25, 5:05:01 AM,C,5.578
8/26/25, 5:15:01 AM,C,5.076
8/26/25, 5:25:01 AM,C,5.076
8/26/25, 5:35:01 AM,C,5.076
8/26/25, 5:45:01 AM,C,4.574
8/26/25, 5:55:01 AM,C,4.574
8/26/25, 6:05:01 AM,C,4.574
8/26/25, 6:15:01 AM,C,4.574
8/26/25, 6:25:01 AM,C,4.574
8/26/25, 6:35:01 AM,C,4.574
8/26/25, 6:45:01 AM,C,4.574
8/26/25, 6:55:01 AM,C,4.574
8/26/25, 7:05:01 AM,C,5.578
8/26/25, 7:15:01 AM,C,6.08
8/26/25, 7:25:01 AM,C,6.581
8/26/25, 7:35:01 AM,C,7.083
8/26/25, 7:45:01 AM,C,9.59
8/26/25, 7:55:01 AM,C,11.595
8/26/25, 8:05:01 AM,C,12.598
8/26/25, 8:15:01 AM,C,15.103
8/26/25, 8:25:01 AM,C,15.103
8/26/25, 8:35:01 AM,C,18.107
8/26/25, 8:45:01 AM,C,16.605
8/26/25, 8:55:01 AM,C,16.605
8/26/25, 9:05:01 AM,C,17.106
8/26/25, 9:15:01 AM,C,16.104
8/26/25, 9:25:01 AM,C,16.605
8/26/25, 9:35:01 AM,C,16.104
8/26/25, 9:45:01 AM,C,21.11
8/26/25, 9:55:01 AM,C,17.106
8/26/25, 10:05:01 AM,C,16.605
8/26/25, 10:15:01 AM,C,18.107
8/26/25, 10:25:01 AM,C,19.609
8/26/25, 10:35:01 AM,C,23.611
8/26/25, 10:45:01 AM,C,22.611
8/26/25, 10:55:01 AM,C,21.11
8/26/25, 11:05:01 AM,C,23.111
8/26/25, 11:15:01 AM,C,22.111
8/26/25, 11:25:01 AM,C,22.611
8/26/25, 11:35:01 AM,C,22.611
8/26/25, 11:45:01 AM,C,26.111
8/26/25, 11:55:01 AM,C,24.611
8/26/25, 12:05:01 PM,C,23.611
8/26/25, 12:15:01 PM,C,31.607
8/26/25, 12:25:01 PM,C,27.611
8/26/25, 12:35:01 PM,C,24.111
8/26/25, 12:45:01 PM,C,28.11
8/26/25, 12:55:01 PM,C,27.611
8/26/25, 1:05:01 PM,C,29.11
8/26/25, 1:15:01 PM,C,28.61
8/26/25, 1:25:01 PM,C,29.11
8/26/25, 1:35:01 PM,C,28.11
8/26/25, 1:45:01 PM,C,28.11
8/26/25, 1:55:01 PM,C,27.611
8/26/25, 2:05:01 PM,C,28.11
8/26/25, 2:15:01 PM,C,27.111
8/26/25, 2:25:01 PM,C,28.11
8/26/25, 2:35:01 PM,C,28.61
8/26/25, 2:45:01 PM,C,29.11
8/26/25, 2:55:01 PM,C,27.611
8/26/25, 3:05:01 PM,C,29.609
8/26/25, 3:15:01 PM,C,30.109
8/26/25, 3:25:01 PM,C,29.11
8/26/25, 3:35:01 PM,C,28.11
8/26/25, 3:45:01 PM,C,21.61
8/26/25, 3:55:01 PM,C,19.609
8/26/25, 4:05:01 PM,C,18.107
8/26/25, 4:15:01 PM,C,17.607
8/26/25, 4:25:01 PM,C,14.602
8/26/25, 4:35:01 PM,C,13.6
8/26/25, 4:45:01 PM,C,13.6
8/26/25, 4:55:01 PM,C,14.101
8/26/25, 5:05:01 PM,C,14.101
8/26/25, 5:15:01 PM,C,14.101
8/26/25, 5:25:01 PM,C,13.099
8/26/25, 5:35:01 PM,C,13.099
8/26/25, 5:45:01 PM,C,12.598
8/26/25, 5:55:01 PM,C,12.598
8/26/25, 6:05:01 PM,C,12.097
8/26/25, 6:15:01 PM,C,12.097
8/26/25, 6:25:01 PM,C,12.097
8/26/25, 6:35:01 PM,C,12.097
8/26/25, 6:45:01 PM,C,12.097
8/26/25, 6:55:01 PM,C,12.097
8/26/25, 7:05:01 PM,C,12.097
8/26/25, 7:15:01 PM,C,12.097
8/26/25, 7:25:01 PM,C,12.097
8/26/25, 7:35:01 PM,C,12.097
8/26/25, 7:45:01 PM,C,11.595
8/26/25, 7:55:01 PM,C,11.094
8/26/25, 8:05:01 PM,C,11.094
8/26/25, 8:15:01 PM,C,10.593
8/26/25, 8:25:01 PM,C,10.593
8/26/25, 8:35:01 PM,C,10.593
8/26/25, 8:45:01 PM,C,10.593
8/26/25, 8:55:01 PM,C,10.593
8/26/25, 9:05:01 PM,C,10.593
8/26/25, 9:15:01 PM,C,10.593
8/26/25, 9:25:01 PM,C,10.593
8/26/25, 9:35:01 PM,C,10.593
8/26/25, 9:45:01 PM,C,10.593
8/26/25, 9:55:01 PM,C,10.593
8/26/25, 10:05:01 PM,C,10.593
8/26/25, 10:15:01 PM,C,10.593
8/26/25, 10:25:01 PM,C,10.092
8/26/25, 10:35:01 PM,C,10.092
8/26/25, 10:45:01 PM,C,9.59
8/26/25, 10:55:01 PM,C,10.092
8/26/25, 11:05:01 PM,C,10.092
8/26/25, 11:15:01 PM,C,10.092
8/26/25, 11:25:01 PM,C,10.092
8/26/25, 11:35:01 PM,C,10.593
8/26/25, 11:45:01 PM,C,10.593
8/26/25, 11:55:01 PM,C,10.593
8/27/25, 12:05:01 AM,C,10.593
8/27/25, 12:15:01 AM,C,10.593
8/27/25, 12:25:01 AM,C,10.593
8/27/25, 12:35:01 AM,C,10.593
8/27/25, 12:45:01 AM,C,10.593
8/27/25, 12:55:01 AM,C,10.593
8/27/25, 1:05:01 AM,C,10.593
8/27/25, 1:15:01 AM,C,10.593
8/27/25, 1:25:01 AM,C,10.092
8/27/25, 1:35:01 AM,C,10.092
8/27/25, 1:45:01 AM,C,10.593
8/27/25, 1:55:01 AM,C,10.092
8/27/25, 2:05:01 AM,C,10.092
8/27/25, 2:15:01 AM,C,10.092
8/27/25, 2:25:01 AM,C,10.092
8/27/25, 2:35:01 AM,C,10.092
8/27/25, 2:45:01 AM,C,10.092
8/27/25, 2:55:01 AM,C,10.092
8/27/25, 3:05:01 AM,C,10.092
8/27/25, 3:15:01 AM,C,10.092
8/27/25, 3:25:01 AM,C,10.092
8/27/25, 3:35:01 AM,C,10.092
8/27/25, 3:45:01 AM,C,9.59
8/27/25, 3:55:01 AM,C,9.59
8/27/25, 4:05:01 AM,C,9.089
8/27/25, 4:15:01 AM,C,9.089
8/27/25, 4:25:01 AM,C,8.587
8/27/25, 4:35:01 AM,C,9.089
8/27/25, 4:45:01 AM,C,8.587
8/27/25, 4:55:01 AM,C,8.587
8/27/25, 5:05:01 AM,C,8.587
8/27/25, 5:15:01 AM,C,8.086
8/27/25, 5:25:01 AM,C,8.086
8/27/25, 5:35:01 AM,C,8.086
8/27/25, 5:45:01 AM,C,7.584
8/27/25, 5:55:01 AM,C,7.584
8/27/25, 6:05:01 AM,C,7.584
8/27/25, 6:15:01 AM,C,7.584
