"Plot Title: SGH 496"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 11016153, SEN S/N: 11016153, LBL: sgh 496 temp)","RH, % (LGR S/N: 11016153, SEN S/N: 11016153, LBL: sgh 496 rh)","Coupler Detached (LGR S/N: 11016153)","Coupler Attached (LGR S/N: 11016153)","Stopped (LGR S/N: 11016153)","End Of File (LGR S/N: 11016153)"
1,05/19/18 12:00:00 AM,37.846,95.801,Logged,,,
2,05/19/18 12:20:00 AM,37.179,95.700,,,,
3,05/19/18 12:40:00 AM,36.505,95.743,,,,
4,05/19/18 01:00:00 AM,35.879,95.939,,,,
5,05/19/18 01:20:00 AM,35.346,95.954,,,,
6,05/19/18 01:40:00 AM,34.858,96.122,,,,
7,05/19/18 02:00:00 AM,34.320,96.136,,,,
8,05/19/18 02:20:00 AM,33.831,96.205,,,,
9,05/19/18 02:40:00 AM,33.336,96.225,,,,
10,05/19/18 03:00:00 AM,32.891,96.541,,,,
11,05/19/18 03:20:00 AM,32.542,96.678,,,,
12,05/19/18 03:40:00 AM,32.142,96.760,,,,
13,05/19/18 04:00:00 AM,31.791,96.729,,,,
14,05/19/18 04:20:00 AM,31.491,96.993,,,,
15,05/19/18 04:40:00 AM,31.289,97.342,,,,
16,05/19/18 05:00:00 AM,31.289,97.912,,,,
17,05/19/18 05:20:00 AM,31.390,98.331,,,,
18,05/19/18 05:40:00 AM,31.642,98.584,,,,
19,05/19/18 06:00:00 AM,31.892,98.695,,,,
20,05/19/18 06:20:00 AM,31.942,98.490,,,,
21,05/19/18 06:40:00 AM,31.892,98.482,,,,
22,05/19/18 07:00:00 AM,32.142,98.900,,,,
23,05/19/18 07:20:00 AM,32.491,99.145,,,,
24,05/19/18 07:40:00 AM,33.039,99.611,,,,
25,05/19/18 08:00:00 AM,34.124,99.927,,,,
26,05/19/18 08:20:00 AM,36.072,100.000,,,,
27,05/19/18 08:40:00 AM,38.322,100.000,,,,
28,05/19/18 09:00:00 AM,40.204,100.000,,,,
29,05/19/18 09:20:00 AM,42.017,100.000,,,,
30,05/19/18 09:40:00 AM,43.488,100.000,,,,
31,05/19/18 10:00:00 AM,45.036,100.000,,,,
32,05/19/18 10:20:00 AM,46.886,99.987,,,,
33,05/19/18 10:40:00 AM,48.360,99.974,,,,
34,05/19/18 11:00:00 AM,49.692,99.986,,,,
35,05/19/18 11:20:00 AM,50.356,99.992,,,,
36,05/19/18 11:40:00 AM,51.589,70.732,,,,
37,05/19/18 12:00:00 PM,52.772,65.215,,,,
38,05/19/18 12:20:00 PM,53.951,57.947,,,,
39,05/19/18 12:40:00 PM,55.299,60.356,,,,
40,05/19/18 01:00:00 PM,56.642,52.222,,,,
41,05/19/18 01:20:00 PM,57.549,49.372,,,,
42,05/19/18 01:40:00 PM,58.411,42.297,,,,
43,05/19/18 02:00:00 PM,59.572,47.905,,,,
44,05/19/18 02:20:00 PM,60.217,49.352,,,,
45,05/19/18 02:40:00 PM,61.290,44.952,,,,
46,05/19/18 03:00:00 PM,62.533,45.036,,,,
47,05/19/18 03:20:00 PM,63.946,49.003,,,,
48,05/19/18 03:40:00 PM,65.102,37.926,,,,
49,05/19/18 04:00:00 PM,62.704,48.881,,,,
50,05/19/18 04:20:00 PM,58.626,58.505,,,,
51,05/19/18 04:40:00 PM,55.776,66.033,,,,
52,05/19/18 05:00:00 PM,55.558,61.031,,,,
53,05/19/18 05:20:00 PM,56.469,61.883,,,,
54,05/19/18 05:40:00 PM,56.599,64.277,,,,
55,05/19/18 06:00:00 PM,57.333,62.524,,,,
56,05/19/18 06:20:00 PM,56.208,61.593,,,,
57,05/19/18 06:40:00 PM,55.081,60.780,,,,
58,05/19/18 07:00:00 PM,54.126,61.548,,,,
59,05/19/18 07:20:00 PM,53.035,74.294,,,,
60,05/19/18 07:40:00 PM,51.589,78.334,,,,
61,05/19/18 08:00:00 PM,50.002,81.888,,,,
62,05/19/18 08:20:00 PM,48.672,84.071,,,,
63,05/19/18 08:40:00 PM,47.467,85.920,,,,
64,05/19/18 09:00:00 PM,46.436,86.699,,,,
65,05/19/18 09:20:00 PM,45.444,86.123,,,,
66,05/19/18 09:40:00 PM,44.355,87.329,,,,
67,05/19/18 10:00:00 PM,43.351,87.941,,,,
68,05/19/18 10:20:00 PM,42.433,89.072,,,,
69,05/19/18 10:40:00 PM,41.601,89.313,,,,
70,05/19/18 11:00:00 PM,40.579,90.590,,,,
71,05/19/18 11:20:00 PM,39.877,91.798,,,,
72,05/19/18 11:40:00 PM,39.173,90.893,,,,
73,05/20/18 12:00:00 AM,38.415,91.236,,,,
74,05/20/18 12:20:00 AM,37.702,91.733,,,,
75,05/20/18 12:40:00 AM,36.986,91.828,,,,
76,05/20/18 01:00:00 AM,36.217,92.212,,,,
77,05/20/18 01:20:00 AM,35.541,92.780,,,,
78,05/20/18 01:40:00 AM,35.200,93.640,,,,
79,05/20/18 02:00:00 AM,34.907,94.135,,,,
80,05/20/18 02:20:00 AM,34.664,94.245,,,,
81,05/20/18 02:40:00 AM,34.371,94.201,,,,
82,05/20/18 03:00:00 AM,34.124,94.457,,,,
83,05/20/18 03:20:00 AM,33.928,94.719,,,,
84,05/20/18 03:40:00 AM,33.780,95.085,,,,
85,05/20/18 04:00:00 AM,33.681,95.337,,,,
86,05/20/18 04:20:00 AM,33.633,95.595,,,,
87,05/20/18 04:40:00 AM,33.681,95.989,,,,
88,05/20/18 05:00:00 AM,33.732,96.141,,,,
89,05/20/18 05:20:00 AM,33.780,95.956,,,,
90,05/20/18 05:40:00 AM,33.584,95.636,,,,
91,05/20/18 06:00:00 AM,33.188,95.430,,,,
92,05/20/18 06:20:00 AM,32.940,95.923,,,,
93,05/20/18 06:40:00 AM,32.891,96.613,,,,
94,05/20/18 07:00:00 AM,33.089,97.386,,,,
95,05/20/18 07:20:00 AM,33.681,98.386,,,,
96,05/20/18 07:40:00 AM,34.957,99.254,,,,
97,05/20/18 08:00:00 AM,36.698,99.485,,,,
98,05/20/18 08:20:00 AM,39.173,99.567,,,,
99,05/20/18 08:40:00 AM,41.740,99.565,,,,
100,05/20/18 09:00:00 AM,43.900,95.634,,,,
101,05/20/18 09:20:00 AM,46.391,71.491,,,,
102,05/20/18 09:40:00 AM,49.028,59.964,,,,
103,05/20/18 10:00:00 AM,50.886,56.937,,,,
104,05/20/18 10:20:00 AM,52.072,52.198,,,,
105,05/20/18 10:40:00 AM,53.166,48.401,,,,
106,05/20/18 11:00:00 AM,54.169,40.510,,,,
107,05/20/18 11:20:00 AM,55.038,41.070,,,,
108,05/20/18 11:40:00 AM,55.819,40.549,,,,
109,05/20/18 12:00:00 PM,56.165,40.665,,,,
110,05/20/18 12:20:00 PM,56.901,36.137,,,,
111,05/20/18 12:40:00 PM,57.549,41.227,,,,
112,05/20/18 01:00:00 PM,58.066,38.837,,,,
113,05/20/18 01:20:00 PM,58.626,34.420,,,,
114,05/20/18 01:40:00 PM,59.358,39.490,,,,
115,05/20/18 02:00:00 PM,59.745,30.225,,,,
116,05/20/18 02:20:00 PM,60.003,36.762,,,,
117,05/20/18 02:40:00 PM,60.733,40.405,,,,
118,05/20/18 03:00:00 PM,61.633,34.188,,,,
119,05/20/18 03:20:00 PM,62.661,34.242,,,,
120,05/20/18 03:40:00 PM,64.375,30.245,,,,
121,05/20/18 04:00:00 PM,64.332,32.918,,,,
122,05/20/18 04:20:00 PM,62.319,35.626,,,,
123,05/20/18 04:40:00 PM,61.333,33.584,,,,
124,05/20/18 05:00:00 PM,60.775,33.751,,,,
125,05/20/18 05:20:00 PM,59.315,46.857,,,,
126,05/20/18 05:40:00 PM,57.722,51.847,,,,
127,05/20/18 06:00:00 PM,57.031,52.650,,,,
128,05/20/18 06:20:00 PM,55.213,48.396,,,,
129,05/20/18 06:40:00 PM,53.384,59.443,,,,
130,05/20/18 07:00:00 PM,51.764,64.798,,,,
131,05/20/18 07:20:00 PM,50.400,68.877,,,,
132,05/20/18 07:40:00 PM,49.471,77.809,,,,
133,05/20/18 08:00:00 PM,48.405,72.883,,,,
134,05/20/18 08:20:00 PM,47.154,75.948,,,,
135,05/20/18 08:40:00 PM,45.896,76.921,,,,
136,05/20/18 09:00:00 PM,44.492,82.261,,,,
137,05/20/18 09:20:00 PM,43.214,80.264,,,,
138,05/20/18 09:40:00 PM,42.156,83.386,,,,
139,05/20/18 10:00:00 PM,41.184,87.721,,,,
140,05/20/18 10:20:00 PM,40.438,87.567,,,,
141,05/20/18 10:40:00 PM,39.736,91.677,,,,
142,05/20/18 11:00:00 PM,38.889,89.618,,,,
143,05/20/18 11:20:00 PM,38.084,87.755,,,,
144,05/20/18 11:40:00 PM,37.321,90.878,,,,
145,05/21/18 12:00:00 AM,36.603,93.603,,,,
146,05/21/18 12:20:00 AM,36.025,94.694,,,,
147,05/21/18 12:40:00 AM,35.395,95.185,,,,
148,05/21/18 01:00:00 AM,34.810,95.775,,,,
149,05/21/18 01:20:00 AM,34.320,95.894,,,,
150,05/21/18 01:40:00 AM,33.831,94.607,,,,
151,05/21/18 02:00:00 AM,33.584,96.384,,,,
152,05/21/18 02:20:00 AM,33.534,96.929,,,,
153,05/21/18 02:40:00 AM,33.485,97.161,,,,
154,05/21/18 03:00:00 AM,33.732,97.726,,,,
155,05/21/18 03:20:00 AM,34.124,98.217,,,,
156,05/21/18 03:40:00 AM,34.565,98.478,,,,
157,05/21/18 04:00:00 AM,34.957,98.540,,,,
158,05/21/18 04:20:00 AM,35.443,98.760,,,,
159,05/21/18 04:40:00 AM,35.830,98.774,,,,
160,05/21/18 05:00:00 AM,36.217,98.883,,,,
161,05/21/18 05:20:00 AM,36.603,98.920,,,,
162,05/21/18 05:40:00 AM,36.891,98.918,,,,
163,05/21/18 06:00:00 AM,37.130,98.932,,,,
164,05/21/18 06:20:00 AM,37.369,98.922,,,,
165,05/21/18 06:40:00 AM,37.751,99.126,,,,
166,05/21/18 07:00:00 AM,38.368,99.416,,,,
167,05/21/18 07:20:00 AM,39.267,99.654,,,,
168,05/21/18 07:40:00 AM,40.345,99.802,,,,
169,05/21/18 08:00:00 AM,41.508,99.890,,,,
170,05/21/18 08:20:00 AM,42.984,99.955,,,,
171,05/21/18 08:40:00 AM,44.037,99.928,,,,
172,05/21/18 09:00:00 AM,44.719,97.933,,,,
173,05/21/18 09:20:00 AM,45.851,89.856,,,,
174,05/21/18 09:40:00 AM,47.019,87.143,,,,
175,05/21/18 10:00:00 AM,48.137,87.868,,,,
176,05/21/18 10:20:00 AM,49.028,88.172,,,,
177,05/21/18 10:40:00 AM,50.002,87.335,,,,
178,05/21/18 11:00:00 AM,50.797,81.907,,,,
179,05/21/18 11:20:00 AM,50.488,82.862,,,,
180,05/21/18 11:40:00 AM,50.311,84.176,,,,
181,05/21/18 12:00:00 PM,50.445,85.840,,,,
182,05/21/18 12:20:00 PM,51.105,86.086,,,,
183,05/21/18 12:40:00 PM,52.466,79.616,,,,
184,05/21/18 01:00:00 PM,53.994,75.073,,,,
185,05/21/18 01:20:00 PM,55.081,75.811,,,,
186,05/21/18 01:40:00 PM,55.690,75.824,,,,
187,05/21/18 02:00:00 PM,55.819,67.948,,,,
188,05/21/18 02:20:00 PM,56.383,73.487,,,,
189,05/21/18 02:40:00 PM,56.815,65.292,,,,
190,05/21/18 03:00:00 PM,57.463,71.418,,,,
191,05/21/18 03:20:00 PM,60.733,72.342,,,,
192,05/21/18 03:40:00 PM,63.433,70.266,,,,
193,05/21/18 04:00:00 PM,67.372,58.356,,,,
194,05/21/18 04:20:00 PM,69.427,56.353,,,,
195,05/21/18 04:40:00 PM,67.627,61.925,,,,
196,05/21/18 05:00:00 PM,64.117,63.338,,,,
197,05/21/18 05:20:00 PM,60.433,68.505,,,,
198,05/21/18 05:40:00 PM,56.685,80.155,,,,
199,05/21/18 06:00:00 PM,54.561,81.699,,,,
200,05/21/18 06:20:00 PM,53.733,81.705,,,,
201,05/21/18 06:40:00 PM,52.641,87.822,,,,
202,05/21/18 07:00:00 PM,51.589,90.346,,,,
203,05/21/18 07:20:00 PM,50.621,92.173,,,,
204,05/21/18 07:40:00 PM,49.914,93.377,,,,
205,05/21/18 08:00:00 PM,49.383,94.999,,,,
206,05/21/18 08:20:00 PM,48.672,93.680,,,,
207,05/21/18 08:40:00 PM,48.182,95.250,,,,
208,05/21/18 09:00:00 PM,47.914,95.787,,,,
209,05/21/18 09:20:00 PM,47.647,95.948,,,,
210,05/21/18 09:40:00 PM,47.154,95.574,,,,
211,05/21/18 10:00:00 PM,46.796,96.519,,,,
212,05/21/18 10:20:00 PM,46.706,97.201,,,,
213,05/21/18 10:40:00 PM,46.616,97.584,,,,
214,05/21/18 11:00:00 PM,46.256,97.132,,,,
215,05/21/18 11:20:00 PM,45.896,96.978,,,,
216,05/21/18 11:40:00 PM,45.262,96.535,,,,
217,05/22/18 12:00:00 AM,44.445,95.890,,,,
218,05/22/18 12:20:00 AM,43.763,96.949,,,,
219,05/22/18 12:40:00 AM,43.167,97.939,,,,
220,05/22/18 01:00:00 AM,42.800,97.343,,,,
221,05/22/18 01:20:00 AM,42.294,97.657,,,,
222,05/22/18 01:40:00 AM,41.693,97.955,,,,
223,05/22/18 02:00:00 AM,40.998,97.944,,,,
224,05/22/18 02:20:00 AM,40.392,97.753,,,,
225,05/22/18 02:40:00 AM,39.736,98.282,,,,
226,05/22/18 03:00:00 AM,39.173,98.339,,,,
227,05/22/18 03:20:00 AM,38.557,98.194,,,,
228,05/22/18 03:40:00 AM,38.037,98.667,,,,
229,05/22/18 04:00:00 AM,37.513,98.800,,,,
230,05/22/18 04:20:00 AM,36.939,98.470,,,,
231,05/22/18 04:40:00 AM,36.505,98.881,,,,
232,05/22/18 05:00:00 AM,36.025,98.757,,,,
233,05/22/18 05:20:00 AM,35.541,98.775,,,,
234,05/22/18 05:40:00 AM,35.200,98.865,,,,
235,05/22/18 06:00:00 AM,34.810,98.993,,,,
236,05/22/18 06:20:00 AM,34.565,98.978,,,,
237,05/22/18 06:40:00 AM,34.419,99.097,,,,
238,05/22/18 07:00:00 AM,34.565,99.335,,,,
239,05/22/18 07:20:00 AM,35.006,99.690,,,,
240,05/22/18 07:40:00 AM,35.976,100.000,,,,
241,05/22/18 08:00:00 AM,37.369,100.000,,,,
242,05/22/18 08:20:00 AM,39.643,100.000,,,,
243,05/22/18 08:40:00 AM,41.787,100.000,,,,
244,05/22/18 09:00:00 AM,44.173,99.755,,,,
245,05/22/18 09:20:00 AM,45.896,99.636,,,,
246,05/22/18 09:40:00 AM,46.974,99.708,,,,
247,05/22/18 10:00:00 AM,48.583,99.665,,,,
248,05/22/18 10:20:00 AM,49.249,99.769,,,,
249,05/22/18 10:40:00 AM,49.825,99.958,,,,
250,05/22/18 11:00:00 AM,50.311,100.000,,,,
251,05/22/18 11:20:00 AM,51.544,100.000,,,,
252,05/22/18 11:40:00 AM,52.378,100.000,,,,
253,05/22/18 12:00:00 PM,52.554,97.892,,,,
254,05/22/18 12:20:00 PM,52.554,98.993,,,,
255,05/22/18 12:40:00 PM,53.209,97.337,,,,
256,05/22/18 01:00:00 PM,53.427,97.370,,,,
257,05/22/18 01:20:00 PM,54.995,78.713,,,,
258,05/22/18 01:40:00 PM,55.602,91.662,,,,
259,05/22/18 02:00:00 PM,55.992,91.795,,,,
260,05/22/18 02:20:00 PM,57.247,86.415,,,,
261,05/22/18 02:40:00 PM,57.333,87.736,,,,
262,05/22/18 03:00:00 PM,56.035,89.811,,,,
263,05/22/18 03:20:00 PM,55.863,94.522,,,,
264,05/22/18 03:40:00 PM,54.691,87.727,,,,
265,05/22/18 04:00:00 PM,52.509,94.443,,,,
266,05/22/18 04:20:00 PM,58.066,99.034,,,,
267,05/22/18 04:40:00 PM,62.319,93.159,,,,
268,05/22/18 05:00:00 PM,60.690,86.192,,,,
269,05/22/18 05:20:00 PM,58.798,86.457,,,,
270,05/22/18 05:40:00 PM,58.928,91.052,,,,
271,05/22/18 06:00:00 PM,57.850,84.960,,,,
272,05/22/18 06:20:00 PM,56.251,91.623,,,,
273,05/22/18 06:40:00 PM,55.342,91.964,,,,
274,05/22/18 07:00:00 PM,54.473,93.007,,,,
275,05/22/18 07:20:00 PM,53.690,94.001,,,,
276,05/22/18 07:40:00 PM,52.992,93.284,,,,
277,05/22/18 08:00:00 PM,52.072,94.124,,,,
278,05/22/18 08:20:00 PM,51.148,94.295,,,,
279,05/22/18 08:40:00 PM,50.356,95.447,,,,
280,05/22/18 09:00:00 PM,49.737,95.557,,,,
281,05/22/18 09:20:00 PM,49.161,95.723,,,,
282,05/22/18 09:40:00 PM,48.450,95.516,,,,
283,05/22/18 10:00:00 PM,47.691,95.554,,,,
284,05/22/18 10:20:00 PM,46.886,95.408,,,,
285,05/22/18 10:40:00 PM,46.166,95.376,,,,
286,05/22/18 11:00:00 PM,45.399,97.101,,,,
287,05/22/18 11:20:00 PM,44.719,96.898,,,,
288,05/22/18 11:40:00 PM,44.127,97.005,,,,
289,05/23/18 12:00:00 AM,43.763,97.491,,,,
290,05/23/18 12:20:00 AM,43.167,96.785,,,,
291,05/23/18 12:40:00 AM,42.616,97.413,,,,
292,05/23/18 01:00:00 AM,42.017,97.345,,,,
293,05/23/18 01:20:00 AM,41.463,97.748,,,,
294,05/23/18 01:40:00 AM,40.998,97.822,,,,
295,05/23/18 02:00:00 AM,40.719,98.290,,,,
296,05/23/18 02:20:00 AM,40.298,98.467,,,,
297,05/23/18 02:40:00 AM,39.924,99.133,,,,
298,05/23/18 03:00:00 AM,39.454,98.721,,,,
299,05/23/18 03:20:00 AM,39.078,98.662,,,,
300,05/23/18 03:40:00 AM,38.700,98.795,,,,
301,05/23/18 04:00:00 AM,38.322,98.591,,,,
302,05/23/18 04:20:00 AM,38.037,98.883,,,,
303,05/23/18 04:40:00 AM,38.037,99.602,,,,
304,05/23/18 05:00:00 AM,38.131,99.905,,,,
305,05/23/18 05:20:00 AM,38.368,99.942,,,,
306,05/23/18 05:40:00 AM,38.511,100.000,,,,
307,05/23/18 06:00:00 AM,38.606,99.980,,,,
308,05/23/18 06:20:00 AM,38.889,100.000,,,,
309,05/23/18 06:40:00 AM,39.313,100.000,,,,
310,05/23/18 07:00:00 AM,39.970,100.000,,,,
311,05/23/18 07:20:00 AM,40.719,100.000,,,,
312,05/23/18 07:40:00 AM,41.601,100.000,,,,
313,05/23/18 08:00:00 AM,42.341,100.000,,,,
314,05/23/18 08:20:00 AM,43.167,100.000,,,,
315,05/23/18 08:40:00 AM,44.445,100.000,,,,
316,05/23/18 09:00:00 AM,46.211,100.000,,,,
317,05/23/18 09:20:00 AM,48.493,100.000,,,,
318,05/23/18 09:40:00 AM,50.047,100.000,,,,
319,05/23/18 10:00:00 AM,50.797,100.000,,,,
320,05/23/18 10:20:00 AM,50.886,100.000,,,,
321,05/23/18 10:40:00 AM,50.400,100.000,,,,
322,05/23/18 11:00:00 AM,50.841,100.000,,,,
323,05/23/18 11:20:00 AM,52.203,100.000,,,,
324,05/23/18 11:40:00 AM,53.427,100.000,,,,
325,05/23/18 12:00:00 PM,53.690,100.000,,,,
326,05/23/18 12:20:00 PM,53.472,97.175,,,,
327,05/23/18 12:40:00 PM,54.734,91.826,,,,
328,05/23/18 01:00:00 PM,55.776,88.984,,,,
329,05/23/18 01:20:00 PM,56.858,86.230,,,,
330,05/23/18 01:40:00 PM,57.506,88.318,,,,
331,05/23/18 02:00:00 PM,58.023,83.193,,,,
332,05/23/18 02:20:00 PM,58.541,73.356,,,,
333,05/23/18 02:40:00 PM,58.368,78.587,,,,
334,05/23/18 03:00:00 PM,58.498,78.492,,,,
335,05/23/18 03:20:00 PM,60.174,72.195,,,,
336,05/23/18 03:40:00 PM,59.056,76.771,,,,
337,05/23/18 04:00:00 PM,56.122,86.321,,,,
338,05/23/18 04:20:00 PM,53.776,93.448,,,,
339,05/23/18 04:40:00 PM,52.947,96.641,,,,
340,05/23/18 05:00:00 PM,54.037,97.184,,,,
341,05/23/18 05:20:00 PM,54.343,94.172,,,,
342,05/23/18 05:40:00 PM,55.429,89.543,,,,
343,05/23/18 06:00:00 PM,55.906,89.319,,,,
344,05/23/18 06:20:00 PM,54.082,89.332,,,,
345,05/23/18 06:40:00 PM,52.554,91.984,,,,
346,05/23/18 07:00:00 PM,51.501,93.172,,,,
347,05/23/18 07:20:00 PM,50.576,94.263,,,,
348,05/23/18 07:40:00 PM,49.782,94.907,,,,
349,05/23/18 08:00:00 PM,48.983,94.738,,,,
350,05/23/18 08:20:00 PM,48.049,94.676,,,,
351,05/23/18 08:40:00 PM,47.154,94.871,,,,
352,05/23/18 09:00:00 PM,46.346,95.403,,,,
353,05/23/18 09:20:00 PM,45.579,96.086,,,,
354,05/23/18 09:40:00 PM,44.809,98.046,,,,
355,05/23/18 10:00:00 PM,43.853,97.161,,,,
356,05/23/18 10:20:00 PM,42.984,98.106,,,,
357,05/23/18 10:40:00 PM,42.156,98.806,,,,
358,05/23/18 11:00:00 PM,41.277,98.814,,,,
359,05/23/18 11:20:00 PM,40.626,98.397,,,,
360,05/23/18 11:40:00 PM,39.970,98.561,,,,
361,05/24/18 12:00:00 AM,39.407,99.244,,,,
362,05/24/18 12:20:00 AM,38.795,98.521,,,,
363,05/24/18 12:40:00 AM,38.273,98.728,,,,
364,05/24/18 01:00:00 AM,37.751,98.886,,,,
365,05/24/18 01:20:00 AM,37.274,98.426,,,,
366,05/24/18 01:40:00 AM,36.842,99.221,,,,
367,05/24/18 02:00:00 AM,36.361,99.383,,,,
368,05/24/18 02:20:00 AM,35.879,98.996,,,,
369,05/24/18 02:40:00 AM,35.443,99.285,,,,
370,05/24/18 03:00:00 AM,34.957,98.874,,,,
371,05/24/18 03:20:00 AM,34.664,99.564,,,,
372,05/24/18 03:40:00 AM,34.174,99.130,,,,
373,05/24/18 04:00:00 AM,33.780,99.351,,,,
374,05/24/18 04:20:00 AM,33.435,99.107,,,,
375,05/24/18 04:40:00 AM,33.089,99.241,,,,
376,05/24/18 05:00:00 AM,32.790,99.240,,,,
377,05/24/18 05:20:00 AM,32.491,99.192,,,,
378,05/24/18 05:40:00 AM,32.293,99.679,,,,
379,05/24/18 06:00:00 AM,32.043,99.568,,,,
380,05/24/18 06:20:00 AM,31.993,99.819,,,,
381,05/24/18 06:40:00 AM,32.142,100.000,,,,
382,05/24/18 07:00:00 AM,32.443,100.000,,,,
383,05/24/18 07:20:00 AM,32.990,100.000,,,,
384,05/24/18 07:40:00 AM,34.027,100.000,,,,
385,05/24/18 08:00:00 AM,35.346,100.000,,,,
386,05/24/18 08:20:00 AM,37.560,100.000,,,,
387,05/24/18 08:40:00 AM,40.158,100.000,,,,
388,05/24/18 09:00:00 AM,42.570,100.000,,,,
389,05/24/18 09:20:00 AM,45.444,100.000,,,,
390,05/24/18 09:40:00 AM,48.137,99.694,,,,
391,05/24/18 10:00:00 AM,50.400,99.578,,,,
392,05/24/18 10:20:00 AM,51.764,99.518,,,,
393,05/24/18 10:40:00 AM,52.641,99.654,,,,
394,05/24/18 11:00:00 AM,53.515,97.988,,,,
395,05/24/18 11:20:00 AM,53.994,95.375,,,,
396,05/24/18 11:40:00 AM,54.387,90.370,,,,
397,05/24/18 12:00:00 PM,55.472,83.007,,,,
398,05/24/18 12:20:00 PM,56.122,79.316,,,,
399,05/24/18 12:40:00 PM,56.383,85.980,,,,
400,05/24/18 01:00:00 PM,56.988,73.440,,,,
401,05/24/18 01:20:00 PM,57.936,77.452,,,,
402,05/24/18 01:40:00 PM,58.023,72.987,,,,
403,05/24/18 02:00:00 PM,58.368,79.751,,,,
404,05/24/18 02:20:00 PM,59.401,69.759,,,,
405,05/24/18 02:40:00 PM,60.132,76.107,,,,
406,05/24/18 03:00:00 PM,60.132,75.882,,,,
407,05/24/18 03:20:00 PM,61.162,64.834,,,,
408,05/24/18 03:40:00 PM,58.885,80.972,,,,
409,05/24/18 04:00:00 PM,55.472,89.602,,,,
410,05/24/18 04:20:00 PM,53.121,93.867,,,,
411,05/24/18 04:40:00 PM,51.678,96.249,,,,
412,05/24/18 05:00:00 PM,52.509,98.211,,,,
413,05/24/18 05:20:00 PM,52.992,97.355,,,,
414,05/24/18 05:40:00 PM,53.515,97.962,,,,
415,05/24/18 06:00:00 PM,53.427,96.511,,,,
416,05/24/18 06:20:00 PM,52.597,91.913,,,,
417,05/24/18 06:40:00 PM,51.017,92.230,,,,
418,05/24/18 07:00:00 PM,49.959,96.846,,,,
419,05/24/18 07:20:00 PM,48.938,97.392,,,,
420,05/24/18 07:40:00 PM,48.049,98.595,,,,
421,05/24/18 08:00:00 PM,47.289,98.330,,,,
422,05/24/18 08:20:00 PM,46.974,98.873,,,,
423,05/24/18 08:40:00 PM,46.616,98.916,,,,
424,05/24/18 09:00:00 PM,46.301,99.112,,,,
425,05/24/18 09:20:00 PM,46.121,99.280,,,,
426,05/24/18 09:40:00 PM,46.031,99.755,,,,
427,05/24/18 10:00:00 PM,45.851,99.776,,,,
428,05/24/18 10:20:00 PM,45.714,99.950,,,,
429,05/24/18 10:40:00 PM,45.534,99.775,,,,
430,05/24/18 11:00:00 PM,45.307,99.642,,,,
431,05/24/18 11:20:00 PM,45.172,99.961,,,,
432,05/24/18 11:40:00 PM,45.036,99.891,,,,
433,05/25/18 12:00:00 AM,44.809,99.612,,,,
434,05/25/18 12:20:00 AM,44.310,99.728,,,,
435,05/25/18 12:40:00 AM,43.990,99.775,,,,
436,05/25/18 01:00:00 AM,43.990,99.969,,,,
437,05/25/18 01:20:00 AM,43.900,100.000,,,,
438,05/25/18 01:40:00 AM,43.763,100.000,,,,
439,05/25/18 02:00:00 AM,43.579,100.000,,,,
440,05/25/18 02:20:00 AM,43.075,99.728,,,,
441,05/25/18 02:40:00 AM,42.892,100.000,,,,
442,05/25/18 03:00:00 AM,42.939,100.000,,,,
443,05/25/18 03:20:00 AM,42.984,100.000,,,,
444,05/25/18 03:40:00 AM,42.984,100.000,,,,
445,05/25/18 04:00:00 AM,43.030,100.000,,,,
446,05/25/18 04:20:00 AM,43.122,100.000,,,,
447,05/25/18 04:40:00 AM,43.122,100.000,,,,
448,05/25/18 05:00:00 AM,43.075,100.000,,,,
449,05/25/18 05:20:00 AM,42.984,100.000,,,,
450,05/25/18 05:40:00 AM,42.847,100.000,,,,
451,05/25/18 06:00:00 AM,42.616,100.000,,,,
452,05/25/18 06:20:00 AM,42.341,100.000,,,,
453,05/25/18 06:40:00 AM,42.109,100.000,,,,
454,05/25/18 07:00:00 AM,41.970,100.000,,,,
455,05/25/18 07:20:00 AM,41.693,100.000,,,,
456,05/25/18 07:40:00 AM,41.416,100.000,,,,
457,05/25/18 08:00:00 AM,40.905,100.000,,,,
458,05/25/18 08:20:00 AM,40.672,100.000,,,,
459,05/25/18 08:40:00 AM,40.719,100.000,,,,
460,05/25/18 09:00:00 AM,40.951,100.000,,,,
461,05/25/18 09:20:00 AM,41.277,100.000,,,,
462,05/25/18 09:40:00 AM,41.508,100.000,,,,
463,05/25/18 10:00:00 AM,41.970,100.000,,,,
464,05/25/18 10:20:00 AM,42.525,100.000,,,,
465,05/25/18 10:40:00 AM,43.030,100.000,,,,
466,05/25/18 11:00:00 AM,44.218,100.000,,,,
467,05/25/18 11:20:00 AM,45.172,100.000,,,,
468,05/25/18 11:40:00 AM,45.986,100.000,,,,
469,05/25/18 12:00:00 PM,46.256,100.000,,,,
470,05/25/18 12:20:00 PM,47.334,100.000,,,,
471,05/25/18 12:40:00 PM,48.182,100.000,,,,
472,05/25/18 01:00:00 PM,47.959,99.223,,,,
473,05/25/18 01:20:00 PM,49.028,99.587,,,,
474,05/25/18 01:40:00 PM,48.628,98.388,,,,
475,05/25/18 02:00:00 PM,47.334,96.749,,,,
