Serial_number:
2091337
Project ID:
ISEECI
Location:
Baro
LEVEL
UNIT: kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
6/2/2019,12:00:00 pm,0,80.4577,10.790
6/2/2019,12:10:00 pm,0,80.4595,10.815
6/2/2019,12:20:00 pm,0,80.4652,10.843
6/2/2019,12:30:00 pm,0,80.4704,10.876
6/2/2019,12:40:00 pm,0,80.4656,10.915
6/2/2019,12:50:00 pm,0,80.4649,10.959
6/2/2019,01:00:00 pm,0,80.4682,11.005
6/2/2019,01:10:00 pm,0,80.4637,11.106
6/2/2019,01:20:00 pm,0,80.4492,11.201
6/2/2019,01:30:00 pm,0,80.4540,11.271
6/2/2019,01:40:00 pm,0,80.4492,11.342
6/2/2019,01:50:00 pm,0,80.4459,11.412
6/2/2019,02:00:00 pm,0,80.4404,11.475
6/2/2019,02:10:00 pm,0,80.4734,11.533
6/2/2019,02:20:00 pm,0,80.4769,11.597
6/2/2019,02:30:00 pm,0,80.4846,11.692
6/2/2019,02:40:00 pm,0,80.4660,11.803
6/2/2019,02:50:00 pm,0,80.4785,11.923
6/2/2019,03:00:00 pm,0,80.4669,12.048
6/2/2019,03:10:00 pm,0,80.4600,12.181
6/2/2019,03:20:00 pm,0,80.4510,12.317
6/2/2019,03:30:00 pm,0,80.4358,12.451
6/2/2019,03:40:00 pm,0,80.4279,12.659
6/2/2019,03:50:00 pm,0,80.4043,12.940
6/2/2019,04:00:00 pm,0,80.3927,13.245
6/2/2019,04:10:00 pm,0,80.3847,13.572
6/2/2019,04:20:00 pm,0,80.3767,13.889
6/2/2019,04:30:00 pm,0,80.3674,14.183
6/2/2019,04:40:00 pm,0,80.3853,14.433
6/2/2019,04:50:00 pm,0,80.3991,14.652
6/2/2019,05:00:00 pm,0,80.4158,14.839
6/2/2019,05:10:00 pm,0,80.4173,15.006
6/2/2019,05:20:00 pm,0,80.4119,15.164
6/2/2019,05:30:00 pm,0,80.4116,15.300
6/2/2019,05:40:00 pm,0,80.4112,15.420
6/2/2019,05:50:00 pm,0,80.4171,15.518
6/2/2019,06:00:00 pm,0,80.4171,15.607
6/2/2019,06:10:00 pm,0,80.4159,15.686
6/2/2019,06:20:00 pm,0,80.4446,15.753
6/2/2019,06:30:00 pm,0,80.4500,15.816
6/2/2019,06:40:00 pm,0,80.4354,15.883
6/2/2019,06:50:00 pm,0,80.4399,15.910
6/2/2019,07:00:00 pm,0,80.4485,15.921
6/2/2019,07:10:00 pm,0,80.4607,15.917
6/2/2019,07:20:00 pm,0,80.4735,15.904
6/2/2019,07:30:00 pm,0,80.4788,15.880
6/2/2019,07:40:00 pm,0,80.4866,15.847
6/2/2019,07:50:00 pm,0,80.4909,15.807
6/2/2019,08:00:00 pm,0,80.5033,15.761
6/2/2019,08:10:00 pm,0,80.5190,15.710
6/2/2019,08:20:00 pm,0,80.5250,15.652
6/2/2019,08:30:00 pm,0,80.5257,15.603
6/2/2019,08:40:00 pm,0,80.5309,15.553
6/2/2019,08:50:00 pm,0,80.5431,15.497
6/2/2019,09:00:00 pm,0,80.5459,15.370
6/2/2019,09:10:00 pm,0,80.5419,15.285
6/2/2019,09:20:00 pm,0,80.5562,15.223
6/2/2019,09:30:00 pm,0,80.5675,15.226
6/2/2019,09:40:00 pm,0,80.5721,15.242
6/2/2019,09:50:00 pm,0,80.5774,15.249
6/2/2019,10:00:00 pm,0,80.5827,15.271
6/2/2019,10:10:00 pm,0,80.5962,15.278
6/2/2019,10:20:00 pm,0,80.5980,15.264
6/2/2019,10:30:00 pm,0,80.5951,15.238
6/2/2019,10:40:00 pm,0,80.6090,15.203
6/2/2019,10:50:00 pm,0,80.6205,15.158
6/2/2019,11:00:00 pm,0,80.6114,15.106
6/2/2019,11:10:00 pm,0,80.6165,15.046
6/2/2019,11:20:00 pm,0,80.6196,14.982
6/2/2019,11:30:00 pm,0,80.6308,14.914
6/2/2019,11:40:00 pm,0,80.6332,14.844
6/2/2019,11:50:00 pm,0,80.6395,14.772
6/3/2019,12:00:00 am,0,80.6392,14.696
6/3/2019,12:10:00 am,0,80.6308,14.620
6/3/2019,12:20:00 am,0,80.6328,14.543
6/3/2019,12:30:00 am,0,80.6404,14.464
6/3/2019,12:40:00 am,0,80.6339,14.386
6/3/2019,12:50:00 am,0,80.6259,14.305
6/3/2019,01:00:00 am,0,80.6264,14.227
6/3/2019,01:10:00 am,0,80.6257,14.147
6/3/2019,01:20:00 am,0,80.6252,14.067
6/3/2019,01:30:00 am,0,80.6112,13.985
6/3/2019,01:40:00 am,0,80.6116,13.904
6/3/2019,01:50:00 am,0,80.6043,13.824
6/3/2019,02:00:00 am,0,80.6043,13.746
6/3/2019,02:10:00 am,0,80.6043,13.671
6/3/2019,02:20:00 am,0,80.6067,13.595
6/3/2019,02:30:00 am,0,80.5990,13.518
6/3/2019,02:40:00 am,0,80.6017,13.440
6/3/2019,02:50:00 am,0,80.6055,13.361
6/3/2019,03:00:00 am,0,80.6034,13.282
6/3/2019,03:10:00 am,0,80.5999,13.202
6/3/2019,03:20:00 am,0,80.5944,13.121
6/3/2019,03:30:00 am,0,80.5841,13.039
6/3/2019,03:40:00 am,0,80.5810,12.957
6/3/2019,03:50:00 am,0,80.5844,12.876
6/3/2019,04:00:00 am,0,80.5824,12.797
6/3/2019,04:10:00 am,0,80.5889,12.718
6/3/2019,04:20:00 am,0,80.5933,12.638
6/3/2019,04:30:00 am,0,80.5909,12.557
6/3/2019,04:40:00 am,0,80.5974,12.476
6/3/2019,04:50:00 am,0,80.5958,12.398
6/3/2019,05:00:00 am,0,80.5949,12.318
6/3/2019,05:10:00 am,0,80.5993,12.238
6/3/2019,05:20:00 am,0,80.6110,12.197
6/3/2019,05:30:00 am,0,80.6145,12.334
6/3/2019,05:40:00 am,0,80.6136,12.553
6/3/2019,05:50:00 am,0,80.6180,12.664
6/3/2019,06:00:00 am,0,80.6267,12.696
6/3/2019,06:10:00 am,0,80.6277,12.684
6/3/2019,06:20:00 am,0,80.6327,12.642
6/3/2019,06:30:00 am,0,80.6392,12.579
6/3/2019,06:40:00 am,0,80.6409,12.505
6/3/2019,06:50:00 am,0,80.6425,12.433
6/3/2019,07:00:00 am,0,80.6457,12.490
6/3/2019,07:10:00 am,0,80.6520,12.686
6/3/2019,07:20:00 am,0,80.6535,12.775
6/3/2019,07:30:00 am,0,80.6544,12.781
6/3/2019,07:40:00 am,0,80.6613,12.745
6/3/2019,07:50:00 am,0,80.6634,12.718
6/3/2019,08:00:00 am,0,80.6698,12.674
6/3/2019,08:10:00 am,0,80.6754,12.609
6/3/2019,08:20:00 am,0,80.6786,12.550
6/3/2019,08:30:00 am,0,80.6842,12.512
6/3/2019,08:40:00 am,0,80.6540,12.526
6/3/2019,08:50:00 am,0,80.6528,12.757
6/3/2019,09:00:00 am,0,80.6561,12.801
6/3/2019,09:10:00 am,0,80.2955,12.884
6/3/2019,09:20:00 am,0,80.2744,13.242
6/3/2019,09:30:00 am,0,80.2907,14.152
6/3/2019,09:40:00 am,0,80.2750,18.065
6/3/2019,09:50:00 am,0,80.2835,18.387
6/3/2019,10:00:00 am,0,80.2844,18.306
6/3/2019,10:10:00 am,0,80.2891,18.488
6/3/2019,10:20:00 am,0,80.2934,18.702
6/3/2019,10:30:00 am,0,80.3022,18.814
6/3/2019,10:40:00 am,0,80.2970,18.897
6/3/2019,10:50:00 am,0,80.2969,19.162
6/3/2019,11:00:00 am,0,80.2982,19.500
6/3/2019,11:10:00 am,0,80.2908,19.989
6/3/2019,11:20:00 am,0,80.2168,20.531
6/3/2019,11:30:00 am,0,80.2200,20.959
6/3/2019,11:40:00 am,0,80.2169,21.245
6/3/2019,11:50:00 am,0,80.2199,21.427
6/3/2019,12:00:00 pm,0,80.2230,23.303
6/3/2019,12:10:00 pm,0,80.1827,23.918
6/3/2019,12:20:00 pm,0,80.2139,24.266
6/3/2019,12:30:00 pm,0,80.2120,23.496
6/3/2019,12:40:00 pm,0,80.2099,22.068
6/3/2019,12:50:00 pm,0,80.2161,20.609
6/3/2019,01:00:00 pm,0,80.2118,18.857
6/3/2019,01:10:00 pm,0,80.2090,18.083
6/3/2019,01:20:00 pm,0,80.2020,17.354
6/3/2019,01:30:00 pm,0,80.1814,17.826
6/3/2019,01:40:00 pm,0,80.1837,18.470
6/3/2019,01:50:00 pm,0,80.1841,18.251
6/3/2019,02:00:00 pm,0,80.1899,18.287
6/3/2019,02:10:00 pm,0,80.1934,17.189
6/3/2019,02:20:00 pm,0,80.1842,16.067
6/3/2019,02:30:00 pm,0,80.1725,15.599
6/3/2019,02:40:00 pm,0,80.1510,15.940
6/3/2019,02:50:00 pm,0,80.1396,16.965
6/3/2019,03:00:00 pm,0,80.1409,18.288
6/3/2019,03:10:00 pm,0,80.1170,19.929
6/3/2019,03:20:00 pm,0,80.1104,21.119
6/3/2019,03:30:00 pm,0,80.1200,20.953
6/3/2019,03:40:00 pm,0,80.1150,20.402
6/3/2019,03:50:00 pm,0,80.1053,20.176
6/3/2019,04:00:00 pm,0,80.1057,19.842
6/3/2019,04:10:00 pm,0,80.1213,19.427
6/3/2019,04:20:00 pm,0,80.1275,18.325
6/3/2019,04:30:00 pm,0,80.1210,17.033
6/3/2019,04:40:00 pm,0,80.1077,15.853
6/3/2019,04:50:00 pm,0,80.0976,15.763
6/3/2019,05:00:00 pm,0,80.1071,15.959
6/3/2019,05:10:00 pm,0,80.1150,15.988
6/3/2019,05:20:00 pm,0,80.1127,17.009
6/3/2019,05:30:00 pm,0,80.1188,18.184
6/3/2019,05:40:00 pm,0,80.1257,18.850
6/3/2019,05:50:00 pm,0,80.1398,19.384
6/3/2019,06:00:00 pm,0,80.1527,19.573
6/3/2019,06:10:00 pm,0,80.1650,18.880
6/3/2019,06:20:00 pm,0,80.1731,17.736
6/3/2019,06:30:00 pm,0,80.1599,16.829
6/3/2019,06:40:00 pm,0,80.1615,15.619
6/3/2019,06:50:00 pm,0,80.1649,14.343
6/3/2019,07:00:00 pm,0,80.1536,13.280
6/3/2019,07:10:00 pm,0,80.1641,12.419
6/3/2019,07:20:00 pm,0,80.1652,11.703
6/3/2019,07:30:00 pm,0,80.1680,11.119
6/3/2019,07:40:00 pm,0,80.1754,10.611
6/3/2019,07:50:00 pm,0,80.1851,10.113
6/3/2019,08:00:00 pm,0,80.1955,9.587
6/3/2019,08:10:00 pm,0,80.2119,9.083
6/3/2019,08:20:00 pm,0,80.2068,8.675
6/3/2019,08:30:00 pm,0,80.2074,8.318
6/3/2019,08:40:00 pm,0,80.2104,7.979
6/3/2019,08:50:00 pm,0,80.2286,7.682
6/3/2019,09:00:00 pm,0,80.2495,7.399
6/3/2019,09:10:00 pm,0,80.2497,7.124
6/3/2019,09:20:00 pm,0,80.2630,6.836
6/3/2019,09:30:00 pm,0,80.2699,6.551
6/3/2019,09:40:00 pm,0,80.2718,6.276
6/3/2019,09:50:00 pm,0,80.2857,6.036
6/3/2019,10:00:00 pm,0,80.3044,5.832
6/3/2019,10:10:00 pm,0,80.3144,5.616
6/3/2019,10:20:00 pm,0,80.3115,5.433
6/3/2019,10:30:00 pm,0,80.3041,5.257
6/3/2019,10:40:00 pm,0,80.3069,5.067
6/3/2019,10:50:00 pm,0,80.3144,4.910
6/3/2019,11:00:00 pm,0,80.3184,4.770
6/3/2019,11:10:00 pm,0,80.3122,4.640
6/3/2019,11:20:00 pm,0,80.3082,4.515
6/3/2019,11:30:00 pm,0,80.3095,4.375
6/3/2019,11:40:00 pm,0,80.3129,4.248
6/3/2019,11:50:00 pm,0,80.3116,4.148
6/4/2019,12:00:00 am,0,80.3181,4.040
6/4/2019,12:10:00 am,0,80.3119,3.939
6/4/2019,12:20:00 am,0,80.3150,3.835
6/4/2019,12:30:00 am,0,80.3127,3.767
6/4/2019,12:40:00 am,0,80.3055,3.676
6/4/2019,12:50:00 am,0,80.3051,3.579
6/4/2019,01:00:00 am,0,80.3037,3.490
6/4/2019,01:10:00 am,0,80.3011,3.417
6/4/2019,01:20:00 am,0,80.3032,3.325
6/4/2019,01:30:00 am,0,80.2981,3.234
6/4/2019,01:40:00 am,0,80.2980,3.144
6/4/2019,01:50:00 am,0,80.3009,3.070
6/4/2019,02:00:00 am,0,80.3004,3.017
6/4/2019,02:10:00 am,0,80.2966,2.946
6/4/2019,02:20:00 am,0,80.2975,2.864
6/4/2019,02:30:00 am,0,80.2916,2.792
6/4/2019,02:40:00 am,0,80.2907,2.742
6/4/2019,02:50:00 am,0,80.2900,2.691
6/4/2019,03:00:00 am,0,80.2931,2.654
6/4/2019,03:10:00 am,0,80.2957,2.606
6/4/2019,03:20:00 am,0,80.2955,2.546
6/4/2019,03:30:00 am,0,80.2982,2.467
6/4/2019,03:40:00 am,0,80.3144,2.402
6/4/2019,03:50:00 am,0,80.3078,2.355
6/4/2019,04:00:00 am,0,80.3053,2.304
6/4/2019,04:10:00 am,0,80.3093,2.248
6/4/2019,04:20:00 am,0,80.3153,2.198
6/4/2019,04:30:00 am,0,80.3165,2.162
6/4/2019,04:40:00 am,0,80.3124,2.104
6/4/2019,04:50:00 am,0,80.3129,2.056
6/4/2019,05:00:00 am,0,80.3145,2.030
6/4/2019,05:10:00 am,0,80.3109,2.007
6/4/2019,05:20:00 am,0,80.3180,1.998
6/4/2019,05:30:00 am,0,80.3211,1.974
6/4/2019,05:40:00 am,0,80.3199,1.960
6/4/2019,05:50:00 am,0,80.3287,1.936
6/4/2019,06:00:00 am,0,80.3353,1.937
6/4/2019,06:10:00 am,0,80.3338,2.467
6/4/2019,06:20:00 am,0,80.3365,3.240
6/4/2019,06:30:00 am,0,80.3372,4.049
6/4/2019,06:40:00 am,0,80.3479,4.369
6/4/2019,06:50:00 am,0,80.3474,5.055
6/4/2019,07:00:00 am,0,80.3508,5.226
6/4/2019,07:10:00 am,0,80.3516,5.587
6/4/2019,07:20:00 am,0,80.3490,5.972
6/4/2019,07:30:00 am,0,80.3463,6.404
6/4/2019,07:40:00 am,0,80.3377,7.051
6/4/2019,07:50:00 am,0,80.3466,7.415
6/4/2019,08:00:00 am,0,80.3534,7.917
6/4/2019,08:10:00 am,0,80.3559,8.457
6/4/2019,08:20:00 am,0,80.3599,9.102
6/4/2019,08:30:00 am,0,80.3613,9.782
6/4/2019,08:40:00 am,0,80.3622,11.776
6/4/2019,08:50:00 am,0,80.3644,14.503
6/4/2019,09:00:00 am,0,80.3728,16.834
6/4/2019,09:10:00 am,0,80.3738,18.769
6/4/2019,09:20:00 am,0,80.3651,20.364
6/4/2019,09:30:00 am,0,80.3567,21.762
6/4/2019,09:40:00 am,0,80.3544,23.059
6/4/2019,09:50:00 am,0,80.3623,23.789
6/4/2019,10:00:00 am,0,80.3693,24.238
6/4/2019,10:10:00 am,0,80.3547,24.614
6/4/2019,10:20:00 am,0,80.3571,25.498
6/4/2019,10:30:00 am,0,80.3624,25.988
6/4/2019,10:40:00 am,0,80.3556,26.540
6/4/2019,10:50:00 am,0,80.3630,26.959
6/4/2019,11:00:00 am,0,80.3689,26.970
6/4/2019,11:10:00 am,0,80.3658,27.141
6/4/2019,11:20:00 am,0,80.3800,27.292
6/4/2019,11:30:00 am,0,80.3676,27.002
6/4/2019,11:40:00 am,0,80.3736,26.729
6/4/2019,11:50:00 am,0,80.3661,26.879
6/4/2019,12:00:00 pm,0,80.3724,26.997
6/4/2019,12:10:00 pm,0,80.3644,27.283
6/4/2019,12:20:00 pm,0,80.3736,27.249
6/4/2019,12:30:00 pm,0,80.3589,27.222
6/4/2019,12:40:00 pm,0,80.3608,27.284
6/4/2019,12:50:00 pm,0,80.3578,27.153
6/4/2019,01:00:00 pm,0,80.3675,26.322
6/4/2019,01:10:00 pm,0,80.3519,26.535
6/4/2019,01:20:00 pm,0,80.3741,25.531
6/4/2019,01:30:00 pm,0,80.3705,23.604
6/4/2019,01:40:00 pm,0,80.3672,21.925
6/4/2019,01:50:00 pm,0,80.3528,21.536
6/4/2019,02:00:00 pm,0,80.3410,22.849
6/4/2019,02:10:00 pm,0,80.3518,22.809
6/4/2019,02:20:00 pm,0,80.3481,23.205
6/4/2019,02:30:00 pm,0,80.3392,23.857
6/4/2019,02:40:00 pm,0,80.3464,23.728
6/4/2019,02:50:00 pm,0,80.3375,23.009
6/4/2019,03:00:00 pm,0,80.3367,22.641
6/4/2019,03:10:00 pm,0,80.3325,22.760
6/4/2019,03:20:00 pm,0,80.3183,22.837
6/4/2019,03:30:00 pm,0,80.3253,22.393
6/4/2019,03:40:00 pm,0,80.3199,22.038
6/4/2019,03:50:00 pm,0,80.3155,21.516
6/4/2019,04:00:00 pm,0,80.3124,21.117
6/4/2019,04:10:00 pm,0,80.3106,20.871
6/4/2019,04:20:00 pm,0,80.3057,20.952
6/4/2019,04:30:00 pm,0,80.3026,20.930
6/4/2019,04:40:00 pm,0,80.2958,20.658
6/4/2019,04:50:00 pm,0,80.2917,20.718
6/4/2019,05:00:00 pm,0,80.2889,21.075
6/4/2019,05:10:00 pm,0,80.2860,21.439
6/4/2019,05:20:00 pm,0,80.2870,21.983
6/4/2019,05:30:00 pm,0,80.2786,22.199
6/4/2019,05:40:00 pm,0,80.2738,22.161
6/4/2019,05:50:00 pm,0,80.2771,21.614
6/4/2019,06:00:00 pm,0,80.2822,20.973
6/4/2019,06:10:00 pm,0,80.2799,20.346
6/4/2019,06:20:00 pm,0,80.2812,19.766
6/4/2019,06:30:00 pm,0,80.2756,19.259
6/4/2019,06:40:00 pm,0,80.2784,18.899
6/4/2019,06:50:00 pm,0,80.2846,18.281
6/4/2019,07:00:00 pm,0,80.2861,17.719
6/4/2019,07:10:00 pm,0,80.2953,17.015
6/4/2019,07:20:00 pm,0,80.2985,16.071
6/4/2019,07:30:00 pm,0,80.3038,15.054
6/4/2019,07:40:00 pm,0,80.3131,14.061
6/4/2019,07:50:00 pm,0,80.3162,13.262
6/4/2019,08:00:00 pm,0,80.3254,12.542
6/4/2019,08:10:00 pm,0,80.3311,11.879
6/4/2019,08:20:00 pm,0,80.3325,11.275
6/4/2019,08:30:00 pm,0,80.3401,10.707
6/4/2019,08:40:00 pm,0,80.3471,10.177
6/4/2019,08:50:00 pm,0,80.3493,9.664
6/4/2019,09:00:00 pm,0,80.3582,9.223
6/4/2019,09:10:00 pm,0,80.3607,8.826
6/4/2019,09:20:00 pm,0,80.3675,8.456
6/4/2019,09:30:00 pm,0,80.3736,8.113
6/4/2019,09:40:00 pm,0,80.3827,7.811
6/4/2019,09:50:00 pm,0,80.3942,7.570
6/4/2019,10:00:00 pm,0,80.3985,7.342
6/4/2019,10:10:00 pm,0,80.4096,7.127
6/4/2019,10:20:00 pm,0,80.4128,6.911
6/4/2019,10:30:00 pm,0,80.4162,6.695
6/4/2019,10:40:00 pm,0,80.4192,6.483
6/4/2019,10:50:00 pm,0,80.4196,6.292
6/4/2019,11:00:00 pm,0,80.4160,6.098
6/4/2019,11:10:00 pm,0,80.4176,5.923
6/4/2019,11:20:00 pm,0,80.4201,5.768
6/4/2019,11:30:00 pm,0,80.4216,5.651
6/4/2019,11:40:00 pm,0,80.4248,5.555
6/4/2019,11:50:00 pm,0,80.4216,5.468
6/5/2019,12:00:00 am,0,80.4269,5.375
6/5/2019,12:10:00 am,0,80.4192,5.289
6/5/2019,12:20:00 am,0,80.4147,5.201
6/5/2019,12:30:00 am,0,80.4064,5.117
6/5/2019,12:40:00 am,0,80.4027,5.045
6/5/2019,12:50:00 am,0,80.4001,4.988
6/5/2019,01:00:00 am,0,80.4081,4.919
6/5/2019,01:10:00 am,0,80.4007,4.854
6/5/2019,01:20:00 am,0,80.4025,4.797
6/5/2019,01:30:00 am,0,80.4018,4.749
6/5/2019,01:40:00 am,0,80.4078,4.663
6/5/2019,01:50:00 am,0,80.3997,4.563
6/5/2019,02:00:00 am,0,80.3913,4.468
6/5/2019,02:10:00 am,0,80.3849,4.383
6/5/2019,02:20:00 am,0,80.3828,4.301
6/5/2019,02:30:00 am,0,80.3822,4.211
6/5/2019,02:40:00 am,0,80.3749,4.129
6/5/2019,02:50:00 am,0,80.3762,4.058
6/5/2019,03:00:00 am,0,80.3817,3.992
6/5/2019,03:10:00 am,0,80.3817,3.920
6/5/2019,03:20:00 am,0,80.3769,3.845
6/5/2019,03:30:00 am,0,80.3759,3.781
6/5/2019,03:40:00 am,0,80.3780,3.724
6/5/2019,03:50:00 am,0,80.3757,3.650
6/5/2019,04:00:00 am,0,80.3675,3.582
6/5/2019,04:10:00 am,0,80.3612,3.506
6/5/2019,04:20:00 am,0,80.3603,3.439
6/5/2019,04:30:00 am,0,80.3562,3.378
6/5/2019,04:40:00 am,0,80.3457,3.328
6/5/2019,04:50:00 am,0,80.3390,3.284
6/5/2019,05:00:00 am,0,80.3306,3.225
6/5/2019,05:10:00 am,0,80.3325,3.152
6/5/2019,05:20:00 am,0,80.3367,3.074
6/5/2019,05:30:00 am,0,80.3388,3.003
6/5/2019,05:40:00 am,0,80.3368,2.940
6/5/2019,05:50:00 am,0,80.3376,2.894
6/5/2019,06:00:00 am,0,80.3397,2.914
6/5/2019,06:10:00 am,0,80.3312,3.468
6/5/2019,06:20:00 am,0,80.3236,4.312
6/5/2019,06:30:00 am,0,80.3218,5.100
6/5/2019,06:40:00 am,0,80.3186,5.432
6/5/2019,06:50:00 am,0,80.3198,5.935
6/5/2019,07:00:00 am,0,80.3239,6.208
6/5/2019,07:10:00 am,0,80.3178,6.812
6/5/2019,07:20:00 am,0,80.3126,7.173
6/5/2019,07:30:00 am,0,80.3100,7.382
6/5/2019,07:40:00 am,0,80.3046,7.899
6/5/2019,07:50:00 am,0,80.3006,8.336
6/5/2019,08:00:00 am,0,80.3004,8.895
6/5/2019,08:10:00 am,0,80.3045,9.425
6/5/2019,08:20:00 am,0,80.3053,9.983
6/5/2019,08:30:00 am,0,80.3037,10.729
6/5/2019,08:40:00 am,0,80.2788,12.859
6/5/2019,08:50:00 am,0,80.2821,15.700
6/5/2019,09:00:00 am,0,80.2859,17.651
6/5/2019,09:10:00 am,0,80.2787,19.431
6/5/2019,09:20:00 am,0,80.2847,19.749
6/5/2019,09:30:00 am,0,80.2693,20.548
6/5/2019,09:40:00 am,0,80.2631,21.467
6/5/2019,09:50:00 am,0,80.2555,22.786
6/5/2019,10:00:00 am,0,80.2477,24.552
6/5/2019,10:10:00 am,0,80.2617,25.482
6/5/2019,10:20:00 am,0,80.2606,25.823
6/5/2019,10:30:00 am,0,80.2663,26.321
6/5/2019,10:40:00 am,0,80.2649,27.103
6/5/2019,10:50:00 am,0,80.2750,27.461
6/5/2019,11:00:00 am,0,80.2933,27.644
6/5/2019,11:10:00 am,0,80.2858,27.599
6/5/2019,11:20:00 am,0,80.2880,27.967
6/5/2019,11:30:00 am,0,80.2956,27.876
6/5/2019,11:40:00 am,0,80.3022,28.043
6/5/2019,11:50:00 am,0,80.3050,27.781
6/5/2019,12:00:00 pm,0,80.2967,27.618
6/5/2019,12:10:00 pm,0,80.2967,27.363
6/5/2019,12:20:00 pm,0,80.2924,26.772
6/5/2019,12:30:00 pm,0,80.2912,26.823
6/5/2019,12:40:00 pm,0,80.2956,26.451
6/5/2019,12:50:00 pm,0,80.2906,25.976
6/5/2019,01:00:00 pm,0,80.2879,25.874
6/5/2019,01:10:00 pm,0,80.2932,25.479
6/5/2019,01:20:00 pm,0,80.2910,25.230
6/5/2019,01:30:00 pm,0,80.2900,24.917
6/5/2019,01:40:00 pm,0,80.2846,24.915
6/5/2019,01:50:00 pm,0,80.2859,24.826
6/5/2019,02:00:00 pm,0,80.2869,24.580
6/5/2019,02:10:00 pm,0,80.2750,24.567
6/5/2019,02:20:00 pm,0,80.2775,24.189
6/5/2019,02:30:00 pm,0,80.2710,24.465
6/5/2019,02:40:00 pm,0,80.2752,24.152
6/5/2019,02:50:00 pm,0,80.2595,23.479
6/5/2019,03:00:00 pm,0,80.2642,22.792
6/5/2019,03:10:00 pm,0,80.2612,22.688
6/5/2019,03:20:00 pm,0,80.2557,22.670
6/5/2019,03:30:00 pm,0,80.2571,22.063
6/5/2019,03:40:00 pm,0,80.2442,21.706
6/5/2019,03:50:00 pm,0,80.2372,21.311
6/5/2019,04:00:00 pm,0,80.2374,20.903
6/5/2019,04:10:00 pm,0,80.2275,20.695
6/5/2019,04:20:00 pm,0,80.2167,20.643
6/5/2019,04:30:00 pm,0,80.2042,20.578
6/5/2019,04:40:00 pm,0,80.2027,20.420
6/5/2019,04:50:00 pm,0,80.1924,20.367
6/5/2019,05:00:00 pm,0,80.1926,20.654
6/5/2019,05:10:00 pm,0,80.1875,20.988
6/5/2019,05:20:00 pm,0,80.1681,21.229
6/5/2019,05:30:00 pm,0,80.1646,21.197
6/5/2019,05:40:00 pm,0,80.1634,21.107
6/5/2019,05:50:00 pm,0,80.1697,20.715
6/5/2019,06:00:00 pm,0,80.1712,20.072
6/5/2019,06:10:00 pm,0,80.1701,19.538
6/5/2019,06:20:00 pm,0,80.1665,19.051
6/5/2019,06:30:00 pm,0,80.1655,18.519
6/5/2019,06:40:00 pm,0,80.1761,18.040
6/5/2019,06:50:00 pm,0,80.1739,17.459
6/5/2019,07:00:00 pm,0,80.1661,17.118
6/5/2019,07:10:00 pm,0,80.1722,16.851
6/5/2019,07:20:00 pm,0,80.1777,16.411
6/5/2019,07:30:00 pm,0,80.1712,15.591
6/5/2019,07:40:00 pm,0,80.1660,14.591
6/5/2019,07:50:00 pm,0,80.1715,13.631
6/5/2019,08:00:00 pm,0,80.1685,12.773
6/5/2019,08:10:00 pm,0,80.1671,12.045
6/5/2019,08:20:00 pm,0,80.1582,11.388
6/5/2019,08:30:00 pm,0,80.1543,10.807
6/5/2019,08:40:00 pm,0,80.1503,10.264
6/5/2019,08:50:00 pm,0,80.1540,9.747
6/5/2019,09:00:00 pm,0,80.1608,9.253
6/5/2019,09:10:00 pm,0,80.1660,8.787
6/5/2019,09:20:00 pm,0,80.1688,8.355
6/5/2019,09:30:00 pm,0,80.1673,7.962
6/5/2019,09:40:00 pm,0,80.1576,7.599
6/5/2019,09:50:00 pm,0,80.1527,7.248
6/5/2019,10:00:00 pm,0,80.1521,6.907
6/5/2019,10:10:00 pm,0,80.1445,6.582
6/5/2019,10:20:00 pm,0,80.1431,6.309
6/5/2019,10:30:00 pm,0,80.1461,6.082
6/5/2019,10:40:00 pm,0,80.1388,5.875
6/5/2019,10:50:00 pm,0,80.1357,5.706
6/5/2019,11:00:00 pm,0,80.1292,5.562
6/5/2019,11:10:00 pm,0,80.1236,5.429
6/5/2019,11:20:00 pm,0,80.1147,5.298
6/5/2019,11:30:00 pm,0,80.1058,5.201
6/5/2019,11:40:00 pm,0,80.0930,5.133
6/5/2019,11:50:00 pm,0,80.0731,5.230
6/6/2019,12:00:00 am,0,80.0646,5.660
6/6/2019,12:10:00 am,0,80.0604,6.177
6/6/2019,12:20:00 am,0,80.0555,6.638
6/6/2019,12:30:00 am,0,80.0544,6.986
6/6/2019,12:40:00 am,0,80.0526,7.227
6/6/2019,12:50:00 am,0,80.0481,7.434
6/6/2019,01:00:00 am,0,80.0467,7.572
6/6/2019,01:10:00 am,0,80.0489,7.663
6/6/2019,01:20:00 am,0,80.0462,7.806
6/6/2019,01:30:00 am,0,80.0485,8.089
6/6/2019,01:40:00 am,0,80.0403,8.218
6/6/2019,01:50:00 am,0,80.0396,8.113
6/6/2019,02:00:00 am,0,80.0314,7.995
6/6/2019,02:10:00 am,0,80.0244,7.922
6/6/2019,02:20:00 am,0,80.0147,7.835
6/6/2019,02:30:00 am,0,80.0100,7.659
6/6/2019,02:40:00 am,0,80.0011,7.555
6/6/2019,02:50:00 am,0,79.9996,7.426
6/6/2019,03:00:00 am,0,79.9921,7.300
6/6/2019,03:10:00 am,0,79.9960,7.138
