,well_id,Date,Time,ms,DT,raw_LEVEL_m,TEMPERATURE,Rate of Change
26,KWT-1,7/5/2021,08:05:00 pm,0,2021-07-05 20:05:00,8.3017,7.09,0.0006000000000000227
27,KWT-1,7/5/2021,08:15:00 pm,0,2021-07-05 20:15:00,8.3007,7.084,0.0005999999999999339
28,KWT-1,7/5/2021,08:25:00 pm,0,2021-07-05 20:25:00,8.2998,7.078,0.0004999999999999894
29,KWT-1,7/5/2021,08:35:00 pm,0,2021-07-05 20:35:00,8.2988,7.073,0.00040000000000004474
30,KWT-1,7/5/2021,08:45:00 pm,0,2021-07-05 20:45:00,8.2982,7.069,0.00030000000000001136
31,KWT-1,7/5/2021,08:55:00 pm,0,2021-07-05 20:55:00,8.2977,7.066,0.00030000000000001136
32,KWT-1,7/5/2021,09:05:00 pm,0,2021-07-05 21:05:00,8.2976,7.063,0.00019999999999997797
33,KWT-1,7/5/2021,09:15:00 pm,0,2021-07-05 21:15:00,8.2974,7.061,0.00030000000000001136
34,KWT-1,7/5/2021,09:25:00 pm,0,2021-07-05 21:25:00,8.2974,7.058,0.00019999999999997797
35,KWT-1,7/5/2021,09:35:00 pm,0,2021-07-05 21:35:00,8.2974,7.056,0.0001000000000000334
36,KWT-1,7/5/2021,09:45:00 pm,0,2021-07-05 21:45:00,8.2975,7.055,0.00019999999999997797
37,KWT-1,7/5/2021,09:55:00 pm,0,2021-07-05 21:55:00,8.2978,7.053,0.0001000000000000334
38,KWT-1,7/5/2021,10:05:00 pm,0,2021-07-05 22:05:00,8.2978,7.052,0.0
39,KWT-1,7/5/2021,10:15:00 pm,0,2021-07-05 22:15:00,8.2974,7.052,0.00019999999999997797
40,KWT-1,7/5/2021,10:25:00 pm,0,2021-07-05 22:25:00,8.2965,7.05,9.999999999994457e-05
41,KWT-1,7/5/2021,10:35:00 pm,0,2021-07-05 22:35:00,8.2968,7.049,0.0
42,KWT-1,7/5/2021,10:45:00 pm,0,2021-07-05 22:45:00,8.2961,7.049,0.0001000000000000334
43,KWT-1,7/5/2021,10:55:00 pm,0,2021-07-05 22:55:00,8.2954,7.048,0.0
44,KWT-1,7/5/2021,11:05:00 pm,0,2021-07-05 23:05:00,8.2947,7.048,0.0001000000000000334
45,KWT-1,7/5/2021,11:15:00 pm,0,2021-07-05 23:15:00,8.2944,7.047,9.999999999994457e-05
46,KWT-1,7/5/2021,11:25:00 pm,0,2021-07-05 23:25:00,8.2941,7.046,0.0
47,KWT-1,7/5/2021,11:35:00 pm,0,2021-07-05 23:35:00,8.2937,7.046,0.0
48,KWT-1,7/5/2021,11:45:00 pm,0,2021-07-05 23:45:00,8.2934,7.046,0.0001000000000000334
49,KWT-1,7/5/2021,11:55:00 pm,0,2021-07-05 23:55:00,8.2931,7.045,0.0001000000000000334
50,KWT-1,7/6/2021,12:05:00 am,0,2021-07-06 00:05:00,8.2932,7.046,0.0001000000000000334
51,KWT-1,7/6/2021,12:15:00 am,0,2021-07-06 00:15:00,8.293,7.045,0.0
52,KWT-1,7/6/2021,12:25:00 am,0,2021-07-06 00:25:00,8.2929,7.045,0.0
53,KWT-1,7/6/2021,12:35:00 am,0,2021-07-06 00:35:00,8.2921,7.045,0.0
54,KWT-1,7/6/2021,12:45:00 am,0,2021-07-06 00:45:00,8.2917,7.045,0.0
55,KWT-1,7/6/2021,12:55:00 am,0,2021-07-06 00:55:00,8.292,7.045,0.0001000000000000334
56,KWT-1,7/6/2021,01:05:00 am,0,2021-07-06 01:05:00,8.2914,7.044,0.0
57,KWT-1,7/6/2021,01:15:00 am,0,2021-07-06 01:15:00,8.2914,7.044,0.0001000000000000334
58,KWT-1,7/6/2021,01:25:00 am,0,2021-07-06 01:25:00,8.2908,7.045,0.0
59,KWT-1,7/6/2021,01:35:00 am,0,2021-07-06 01:35:00,8.2911,7.045,0.0
60,KWT-1,7/6/2021,01:45:00 am,0,2021-07-06 01:45:00,8.2904,7.045,0.0001000000000000334
61,KWT-1,7/6/2021,01:55:00 am,0,2021-07-06 01:55:00,8.2903,7.044,0.0001000000000000334
62,KWT-1,7/6/2021,02:05:00 am,0,2021-07-06 02:05:00,8.2898,7.045,0.0
63,KWT-1,7/6/2021,02:15:00 am,0,2021-07-06 02:15:00,8.2894,7.045,0.0
64,KWT-1,7/6/2021,02:25:00 am,0,2021-07-06 02:25:00,8.2891,7.045,0.0
65,KWT-1,7/6/2021,02:35:00 am,0,2021-07-06 02:35:00,8.2888,7.045,0.0
66,KWT-1,7/6/2021,02:45:00 am,0,2021-07-06 02:45:00,8.2884,7.045,0.0
67,KWT-1,7/6/2021,02:55:00 am,0,2021-07-06 02:55:00,8.2882,7.045,0.0
68,KWT-1,7/6/2021,03:05:00 am,0,2021-07-06 03:05:00,8.2882,7.045,0.0001000000000000334
69,KWT-1,7/6/2021,03:15:00 am,0,2021-07-06 03:15:00,8.2876,7.046,0.0001000000000000334
70,KWT-1,7/6/2021,03:25:00 am,0,2021-07-06 03:25:00,8.2877,7.045,0.0001000000000000334
71,KWT-1,7/6/2021,03:35:00 am,0,2021-07-06 03:35:00,8.2874,7.046,0.0
72,KWT-1,7/6/2021,03:45:00 am,0,2021-07-06 03:45:00,8.2872,7.046,0.0
73,KWT-1,7/6/2021,03:55:00 am,0,2021-07-06 03:55:00,8.2868,7.046,0.0
74,KWT-1,7/6/2021,04:05:00 am,0,2021-07-06 04:05:00,8.2864,7.046,9.999999999994457e-05
75,KWT-1,7/6/2021,04:15:00 am,0,2021-07-06 04:15:00,8.286,7.047,0.0
76,KWT-1,7/6/2021,04:25:00 am,0,2021-07-06 04:25:00,8.2857,7.047,0.0
77,KWT-1,7/6/2021,04:35:00 am,0,2021-07-06 04:35:00,8.2858,7.047,0.0
