"TOA5","Station7_wx","CR1000","12862","CR1000.Std.14","CPU:SH_Site7_1_2.CR1","44893","daily"
"TIMESTAMP","RECORD","Batt_Volt_Min","WS_ms_25ft_Max","WS_ms_25ft_TMx","AirTC_25ft_Min","AirTC_25ft_TMn","AirTC_25ft_Max","AirTC_25ft_TMx"
"TS","RN","Volts","meters/second","meters/second","Deg C","Deg C","Deg C","Deg C"
"","","Min","Max","TMx","Min","TMn","Max","TMx"
"2009-01-08 00:00:00",0,12.42,5.375,"2009-01-07 14:04:20",5.337,"2009-01-07 20:25:30",13.53,"2009-01-07 13:11:30"
"2009-01-09 00:00:00",1,12.28,14.6,"2009-01-08 10:04:40",-3.49,"2009-01-08 22:23:00",7.157,"2009-01-08 09:54:00"
"2009-01-10 00:00:00",2,12.19,6.725,"2009-01-09 15:09:20",-6.411,"2009-01-09 22:29:40",2.858,"2009-01-09 12:42:10"
"2009-01-11 00:00:00",3,12.17,3.425,"2009-01-10 12:47:00",-4.672,"2009-01-10 00:01:40",12.08,"2009-01-10 15:16:10"
"2009-01-12 00:00:00",4,12.22,4.625,"2009-01-11 13:01:20",0.904,"2009-01-11 23:21:10",10.49,"2009-01-11 11:06:50"
"2009-01-13 00:00:00",5,12.35,6.95,"2009-01-12 15:47:40",1.689,"2009-01-12 23:58:00",7.6,"2009-01-12 14:50:40"
"2009-01-14 00:00:00",6,12.21,2.525,"2009-01-13 13:18:00",-0.375,"2009-01-13 05:23:50",14.88,"2009-01-13 12:44:00"
"2009-01-15 00:00:00",7,12.32,3.65,"2009-01-14 11:38:10",5.792,"2009-01-14 02:46:10",14.74,"2009-01-14 13:31:00"
"2009-01-16 00:00:00",8,12.32,4.775,"2009-01-15 18:49:10",1.453,"2009-01-15 23:59:50",10.84,"2009-01-15 14:50:00"
"2009-01-17 00:00:00",9,12.24,5.15,"2009-01-16 04:25:20",0.163,"2009-01-16 04:04:00",9.4,"2009-01-16 13:11:30"
"2009-01-18 00:00:00",10,12.24,4.325,"2009-01-17 14:27:50",-0.949,"2009-01-17 23:28:10",10.78,"2009-01-17 13:17:10"
"2009-01-19 00:00:00",11,12.22,4.1,"2009-01-18 13:47:40",-4.24,"2009-01-18 07:30:30",6.939,"2009-01-18 13:46:20"
"2009-01-20 00:00:00",12,12.2,3.725,"2009-01-19 01:22:30",-3.423,"2009-01-19 03:06:50",6.031,"2009-01-19 16:02:00"
"2009-01-21 00:00:00",13,12.33,2.075,"2009-01-20 15:44:20",1.955,"2009-01-20 23:56:20",10.68,"2009-01-20 15:29:00"
"2009-01-22 00:00:00",14,12.17,6.2,"2009-01-21 14:07:50",1.117,"2009-01-21 21:23:20",9.43,"2009-01-21 14:17:20"
