ID,run_date,run_minutes,states,completeness,weeks,AIC,AIC %improve,change,AICc,coef.det,sigma,df,logLik,convergence,errors,Q.diag,% improve,change
3,11/18/24,0.612155251,35,0.78,100,9804.463029,21.0%,0.2%,9806.989534,0.705052341,393.5713429,37,-4865.231515,0,0,113.87406,16.6%,0.0%
3,11/18/24,0.646913147,35,0.78,102,9823.251177,20.9%,1.2%,9825.777682,0.705043874,393.5867995,37,-4874.625588,0,0,113.873968,16.6%,-1.5%
2,11/18/24,0.727659198,36,0.8,100,9969.038079,19.7%,0.2%,9971.654142,0.705287445,386.9490947,38,-4946.519039,0,0,111.871324,18.0%,0.0%
2,11/18/24,0.748592432,36,0.8,102,9987.889153,19.5%,1.2%,9990.505217,0.705269274,386.97867,38,-4955.944577,0,0,111.8715009,18.0%,-0.2%
11,11/18/24,0.800197216,37,0.81,100,10135.17729,18.3%,0.2%,10137.88797,0.703447475,385.5592562,39,-5028.588644,0,0,111.6039669,18.2%,0.0%
18,11/18/24,0.82411323,37,0.81,102,10154.25162,18.2%,2.5%,10156.96231,0.70342835,385.5907397,39,-5038.12581,0,0,111.6041532,18.2%,1.1%
10,11/18/24,0.924979218,39,0.82,100,10469.06383,15.7%,0.2%,10471.97016,0.695427656,394.9372878,41,-5193.531917,0,0,113.1166695,17.1%,0.0%
17,11/18/24,0.9655056,39,0.82,102,10490.33508,15.5%,3.0%,10493.24141,0.695409032,394.9660791,41,-5204.167542,0,0,113.1168192,17.1%,6.1%
9,11/18/24,1.0711875,41,0.83,100,10860.99517,12.5%,0.2%,10864.10445,0.669559401,437.1883747,43,-5387.497583,0,0,121.3917485,11.1%,0.0%
16,11/18/24,1.137956834,41,0.83,102,10884.46141,12.3%,2.8%,10887.5707,0.669550206,437.202934,43,-5399.230707,0,0,121.3916403,11.1%,6.0%
1,11/18/24,1.227349333,43,0.85,100,11229.26206,9.5%,0.0%,11232.58203,0.647907789,474.4068638,45,-5569.63103,0,0,129.541533,5.1%,0.0%
8,11/18/24,1.206756882,43,0.84,100,11229.26206,9.5%,0.2%,11232.58203,0.647907789,474.4068638,45,-5569.63103,0,0,129.541533,5.1%,0.0%
1,11/18/24,1.316487885,43,0.85,102,11254.92541,9.3%,0.8%,11258.24538,0.647898358,474.422257,45,-5582.462704,0,0,129.541404,5.1%,-0.3%
4,11/18/24,1.707633734,44,0.86,100,11353.8274,8.5%,0.2%,11357.25915,0.652589305,475.0046168,46,-5630.9137,0,0,129.1185964,5.4%,0.0%
15,11/18/24,1.78108385,44,0.86,102,11379.5282,8.3%,2.1%,11382.95994,0.652590602,475.0036057,46,-5643.764099,0,0,129.1183733,5.4%,3.1%
5,11/18/24,2.099495018,46,0.87,100,11635.21936,6.3%,1.9%,11638.88291,0.643171301,500.7329617,48,-5769.609681,0,0,133.3869977,2.3%,1.1%
6,11/18/24,2.849387983,48,0.88,100,11873.30227,4.3%,0.2%,11877.20732,0.636673492,509.0723701,50,-5886.651133,0,0,134.9361276,1.1%,0.0%
14,11/18/24,3.129856519,48,0.88,102,11900.25907,4.1%,1.3%,11904.16413,0.636711282,509.0162907,50,-5900.129537,0,0,134.9356271,1.1%,-0.4%
7,11/18/24,3.306746332,50,0.89,100,12063.2365,2.8%,0.8%,12067.39336,0.634967951,507.9570093,52,-5979.618248,0,0,134.3391827,1.6%,-0.7%
13,11/18/24,3.9512772,51,0.9,102,12167.6731,2.0%,1.9%,12171.96074,0.635725009,504.2406217,53,-6030.83655,0,0,133.384009,2.3%,2.3%
12,11/18/24,4.757780766,54,0.95,102,12407.46281,0.0%,0.0%,12412.18121,0.630383854,507.8444292,56,-6147.731403,0,0,136.4759483,,
0,11/18/24,5.275891852,56,1,102,12411.4628,,,12416.52868,0.630383759,507.844486,58,-6147.731402,0,0,not converg,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
3,11/18/24,0.612155251,35,0.78,100,9804.463029,21.0%,1.3%,9806.989534,0.705052341,393.5713429,37,-4865.231515,0,0,113.87406,16.6%,-1.5%
